티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
NXT	Nextpower Inc.	0001852131	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	95.3499984741211	3.84	2026		1094976000.0		1094976000.0	0.0	0.0	2334397000.0	1738815000.0	57.31096245420076	42.68903754579924	1.34252177488692	7.170295091220365	7.170295091220365	22.9634644226304	22.9634644226304	10.662824207492786	476.8998281229633		29.825648414985572	962.2996562459266		114.5304899135446	3695.230679984358		20.11588017448083	3775.43863567788		3년	962.2996562459266	3695.230679984358	3775.43863567788				3.3634594264019313	3.5274876562423922	판정불가		판정불가	3년	476.8998281229633	0.0481515468626034	매우 유망	Y		152710033.0	-18.182600201595655	-9.970734418703698		-39.03452545066601	120.1815998840332	108.85157497406006	N	N	주의	
SE	Sea Ltd	0001703399	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	107.41000366210938	2.52	2025		4158920000.0	6413261000.0	10572181000.0	1026000.0	856000.0	12526503000.0	16722651000.0	42.82688996748419	57.173110032515815	0.7490739955046601	16.56331158752774	16.56197037223774	36.05027463277049	36.050806861060174	240.54054054054052			489.58108108108104			1233.7443243243242			1048.6307441208546			1년	489.58108108108104	1233.7443243243242	1048.6307441208546				7.0675684411233775	6.579990876228391	판정불가		판정불가	1년	240.54054054054052	0.1498719282485964	매우 유망	Y		638227141.0	25.128154991192076	-15.498384748365634		-45.338420528188614	95.53760040283203	111.76699996948243	Y	N	중립/개선	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	943.3800048828125	17.69	2025	20.0	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	51.51622576983153	51.52912915420492	217.02508960573476			442.5501792114695			7828.712670250897			729.8578123058043			1년	442.5501792114695	7828.712670250897	729.8578123058043	4.60097932377141					1년	4.60097932377141	안심	1년	217.02508960573476	0.2373745167594219	매우 유망	N	FCF<=0	276000000.0	-13.366335912220318	36.18882463666813		-19.70277167959571	1028.8317944335938	831.5697485351562	N	Y	중립/개선	단기위험부채 존재
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	36.31999969482422	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	22.74903791186551	26.382212155932883	72.00000000000001			152.50000000000003			196.72500000000005			441.64372701807685			1년	152.50000000000003	196.72500000000005	441.64372701807685				0.7109781593345492	1.9575390014000116	판정불가		판정불가	1년	72.00000000000001	0.3159588598870209	매우 유망	Y		134886000.0	5.889214293570877	-9.0408228969726		-49.785706103452185	50.80620002746582	40.012950057983396	N	N	중립/개선	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1862.52001953125	39.4	2025	0.032214418836206925	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	48.72091129018462	48.72091129018462	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-62.82367032907483	466.8161564146568		3년	267.94579662844023	10557.064387160544	466.81615641465675	0.09378369098584505	2.663232466244879		228.947013372699	12.292324966811325	3년	2.663232466244879	안심	3년	129.72289831422012	0.3755768019626792	매우 유망	N	주당순현금<=0	50697320.0	3.935849512622025	-18.844443593409586		-25.824679655181026	1709.2814013671875	1897.251953125	Y	N	중립/개선	
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	202.58999633789062	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	12.274038338576155	12.274038338576155	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	215.21151498869827		389.87428848295576	5년	69.84069691047767	992.4363030978878	389.87428848295576				11.040200117168974	5.449528760914496	판정불가		판정불가	5년	30.670348455238837	0.4001923341852222	매우 유망	Y		107537000.0	3.436125654327893	-13.809830373292753		-36.342499186837195	246.6198031616211	234.58110130310058	N	N	중립/개선	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	705.8200073242188	28.19	2025	22.0	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	24.16422108740502	24.16422108740502	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	181.52795227723456	345.6695968651567	442.5594113395115	3년	111.58656194520984	3145.6251812354653	345.6695968651567	2.193094641872961	3.0434782361322403	3.5454441381229604			3년	3.0434782361322403	안심	3년	51.54328097260492	0.4688141816243367	매우 유망	N	FCF<=0	45145767.0	-18.2870657592347	-1.4603257866792951		-25.211125051738414	810.1313977050781	743.8797506713868	N	N	주의	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	288.4100036621094	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	114.51293121673437	114.51293121673437	206.8807339449541			422.2614678899082			983.8692201834862			241.13560822812215			1년	422.2614678899082	983.8692201834862	241.13560822812215				3.4553696058923107	1.1980755043228304	판정불가		판정불가	1년	206.8807339449541	0.5535214857039489	헐값	Y		134684000.0	-6.515187665640276	-20.1854161365397		-41.2869991153866	291.8270013427734	353.57545013427733	N	N	주의	
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	85.70999908447266	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	32.00236497683436	32.00236497683436	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-127.42880763078874	165.8301331073571	266.116677134028	3년	96.54364603922382	227.8430046525682	165.8301331073571				2.5778288363282638	3.0076173887105626	판정불가		판정불가	3년	44.02182301961191	0.726965917848908	헐값	Y		5929576000.0	-11.902561128670452	-19.829766954867612		-37.94976033108246	84.6181997680664	104.41409984588623	Y	N	주의	
VRT	Vertiv Holdings Co	0001674101	Company Add-ons	제외	PEG=헐값, PEGY=보통	269.55999755859375	3.41	2025	9.0	1728400000.0		1728400000.0	2892100000.0	20900000.0	3941300000.0	8271100000.0	32.27293570469359	67.7270642953064	0.4765146111158129	-2.9788598174833623	-3.032360006694845	79.92341858535984	79.9391077904072	166.40624999999997		95.30556878636357	341.31249999999994		199.11113757272713	1163.875625		678.9689791229996	331.7686732234854		151.88046641653995	5년	199.11113757272713	678.9689791229996	151.88046641653995	2.194679020300696		1.3050689101212942	4.8477826951533824	1.7984058239574767	5년	1.3050689101212942	보통	5년	95.30556878636357	0.8386017690583825	헐값	N	주당순현금<=0	390652824.0	-11.628364869898355	42.46603667544699		-28.352340406892917	312.56660034179686	245.43490028381348	N	Y	중립/개선	단기위험부채 존재
TM	TOYOTA MOTOR CORP/	0001094517	Company Add-ons	보류	PEG=헐값, PEGY=보통	186.3000030517578	3.23	2012	3.44	18270000000.0		18270000000.0		43482000000.0	129166000000.0	241472000000.0	34.849637651832786	65.1503623481672	0.5349108799363902	6.4194955899787	-8.858693093297372	55.690559585690124	60.4206489613174	193.6363636363636	64.92633517465735		395.7727272727272	138.3526703493147		1278.345909090909	446.8791252282865		586.1760000807725	139.87070204402232		3년	138.3526703493147	446.8791252282865	139.87070204402232	3.538775065334467	1.2276108497251357		5.965527976281246	3.2021083620830137	3년	1.2276108497251357	보통	3년	64.92633517465735	0.8577499320711356	헐값	Y		2846018000.0	-3.461494882201399	-16.874885279938734		-24.966769467401317	178.7275991821289	203.57799949645997	Y	N	주의	단기위험부채 존재
JD	JD.com, Inc.	0001549802	Company Add-ons	보류	PEG=헐값, PEGY=보통	31.790000915527344	0.92	2025	3.23	19660000000.0	10831000000.0	30491000000.0	449195000.0	1146000000.0	32180000000.0	57402000000.0	35.922395124020454	64.07760487597956	0.5606076443329501	10.08778726350647	9.702970032851441	23.589362665240078	24.007642263778155	-50.0	25.092130660408696	-17.655175032048053	-91.5	58.68426132081739	-26.810350064096106	-84.18	53.989520415152	-24.665522058968417	-364.8002440254211	69.83176741206584	-177.58893157791925	3년	58.68426132081739	53.989520415152	69.83176741206584	-1.9826733203316922	1.200631448264711	-0.6115118596783523	0.7216162553906267	2.2699472620592602	3년	1.200631448264711	보통	3년	25.092130660408696	0.9401099884459098	헐값	Y		2978037127.0	6.9290326438264715	7.762714967889295		-12.109476016447596	28.801800003051756	29.44522503852844	Y	Y	상승전환	단기위험부채 존재
SHOP	SHOPIFY INC.	0001594805	Company Add-ons	보류	PEG=보통, PEGY=판정불가	130.27999877929688	0.94	2025		1545000000.0	4233000000.0	5778000000.0			13473000000.0					4.427744808376297	4.427744808376297	133.88537656480912	133.88537656480912	-39.35483870967742	111.045429449015	-18.348227303268583	-70.20967741935485	230.59085889802998	-28.196454606537166	-65.99709677419355	216.75540736414817	-26.504667330144933	-150.6578886955603	66.37658074540398	-120.34438714959279	3년	230.59085889802998	216.75540736414817	66.37658074540398				1.5379861250279039	1.1805235949022048	판정불가		판정불가	3년	111.04542944901499	1.205681109336254	보통	Y		1304953255.0	6.743134388983973	-5.250909978693185		-27.22194135684317	114.76759979248047	133.65839992523195	Y	N	중립/개선	
