티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dow 30	제외	PEG=매우 유망, PEGY=안심	229.0050048828125	11.17	2025	2.91	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.337040713052332	24.943267048387256	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	660.586740820888	758.5972818553781	62.290308432109384	3년	176.02781980632085	1966.230747236604	758.5972818553781	3.1485731027024677	3.5613988950051705	0.6285156055618145	12.756736597321586	5.5705055895391995	3년	3.5613988950051705	안심	3년	83.76390990316042	0.290543275035614	매우 유망	N	주당순현금<=0	948675228.0	-22.19258706235515	-25.50828132161631		-27.298562724627264	242.61789947509766	272.52172485351565	N	N	주의	단기위험부채 존재
DIS	Walt Disney Co	0001744489	Dow 30	제외	PEG=매우 유망, PEGY=안심	101.83000183105469	6.85	2025	1.46	5695000000.0		5695000000.0	35315000000.0	6711000000.0	109869000000.0					-16.35560463832137	-20.06129210381005	17.253373207208185	17.794349479542298	151.8382352941176	58.50904212609995		312.1764705882352	125.51808425219991		2138.408823529411	859.7988771275693		1999.9791663337369	744.347305967896		3년	125.51808425219991	859.7988771275693	744.347305967896	8.885116750970878	3.475786526257129		5.564329099944782	5.464331729244702	3년	3.475786526257129	안심	3년	58.509042126099956	0.2948838774359584	매우 유망	N	주당순현금<=0	1811000000.0	-2.2980274845603943	-9.585336117093524		-17.88969019097111	100.90730041503906	109.55272487640381	Y	N	주의	단기위험부채 존재
CRM	Salesforce, Inc.	0001108524	Dow 30	제외	PEG=매우 유망, PEGY=안심	186.1999969482422	7.8	2025	96.0	7327000000.0	57139000.0	7384139000.0	10439000000.0	4000000000.0	59142000000.0	53163000000.0	52.66194737545078	47.33805262454922	1.1124654364877828	-3.19546129707113	-7.379561715481172	24.2814690058094	24.81789213637479	85.7142857142857	74.02472751880647	12.233911375838758	179.9285714285714	156.54945503761294	32.96782275167752	1403.4428571428568	1221.085749293381	257.14901746308465	653.7287218822943	555.7925721302804	38.103663629255635	3년	156.54945503761294	1221.085749293381	555.7925721302804	7.4836611273729	7.002242223406156	4.457469659267466	15.064853556485355	8.0906841049374	3년	7.002242223406156	안심	3년	74.02472751880647	0.3280183503497602	매우 유망	N	주당순현금<=0	956000000.0	-5.183831185178511	-28.497371710096488		-36.04671102468103	186.6574008178711	228.21005073547363	N	N	주의	단기위험부채 존재
TRV	TRAVELERS COMPANIES, INC.	0000086312	Dow 30	제외	PEG=매우 유망, PEGY=안심	302.3900146484375	27.43	2025	1.64	842000000.0		842000000.0	5861000000.0	100000000.0	32894000000.0	110814000000.0	22.88947031480502	77.11052968519499	0.29683974949013664	-22.051845342706503	-22.491212653778557	11.82799343751892	11.84401120314313	27.759664648346536	32.58155699339016	40.000996302713745	64.01932929669307	73.66311398678032	88.50199260542749	1756.0502026082909	2020.579216657384	2427.609657166876	480.7236077718695	568.2030221819775	702.8074802632771	3년	73.66311398678032	2020.579216657384	568.2030221819775	2.485600351712193	2.8932681755502045	3.520546111450033			3년	2.8932681755502045	안심	3년	32.58155699339016	0.3630272623226223	매우 유망	N	주당순현금<=0 | FCF<=0	227600000.0	4.912744378579315	12.571670071141794		-3.089441453889785	300.97140014648437	284.2502502441406	Y	Y	강한 상승추세	단기위험부채 존재
JPM	JPMORGAN CHASE & CO	0000019617	Dow 30	제외	PEG=헐값, PEGY=보통	306.92999267578125	20.02	2025	1.92	278793000000.0		278793000000.0	267889000000.0	64776000000.0	362438000000.0	4062462000000.0	8.19087437004226	91.80912562995775	0.08921634220824712	3.9201869494876864	-19.367966924321408	15.135354931383295	16.29859938062451	1.3670886075949347	18.30758541328956	17.65495483894246	11.23417721518987	45.115170826579124	43.80990967788492	224.9082278481012	903.205719948114	877.074391751256	-26.72328113411906	194.27092219762164	185.75714745405617	3년	45.115170826579124	903.205719948114	194.27092219762164	0.21717948620941335	1.3364460566000655	1.2933264484173816			3년	1.3364460566000655	보통	3년	18.307585413289562	0.8267258947428682	헐값	N	FCF<=0	2781500000.0	-2.5310446200229597	-1.3624913926538862		-8.286953349445936	299.45562133789065	304.94585571289065	Y	Y	중립/개선	단기위험부채 존재
BA	BOEING CO	0000012927	Dow 30	제외	PEG=헐값, PEGY=보통	223.13499450683594	2.48	2025	3.6838686007847032	10921000000.0	18479000000.0	29400000000.0	53848000000.0	6109000000.0	5454000000.0	162778000000.0	3.2419515906605163	96.75804840933948	0.03350575630613473	-32.07136298045389	-40.08526826708645	102.90578930939107	106.13720273142032	113.50762527233115			235.5152505446623			584.0778213507625			161.75984750472153			1년	235.5152505446623	584.0778213507625	161.75984750472153	1.138823137741786			-2.462285189557917	-1.1034957537700267	1년	1.138823137741786	보통	1년	113.50762527233115	0.9065980286566316	헐값	N	주당순현금<=0 | FCF<=0	762300000.0	-4.308384487200612	10.986464523771634		-11.5189366932403	217.28670074462892	219.603525390625	Y	Y	중립/개선	단기위험부채 존재
NVDA	NVIDIA CORP	0001045810	Dow 30	보류	PEG=헐값, PEGY=보통	196.7100067138672	4.9	2026	2.0	10605000000.0	34621000000.0	45226000000.0	7469000000.0	0.0	157293000000.0	49510000000.0	76.05934149891442	23.940658501085572	3.1769945465562515	1.5402219140083218	1.5402219140083218	39.830568326501805	39.830568326501805	66.66666666666669	41.21547046890686	-6.616661124591561	141.83333333333337	90.93094093781372	-4.7333222491831215	694.9833333333336	445.5616105952872	-23.1932790209973	253.3034973377083	126.506835131879	-111.79059439245206	3년	90.93094093781372	445.5616105952872	126.50683513187899	1.7239690406571075	1.0849825218324305	-0.11590748810681176	4.184517622583014	2.127252035871149	3년	1.0849825218324305	보통	3년	41.21547046890686	0.9663984875909682	헐값	Y		24514000000.0	9.066211841815575	-2.8643404091139746		-9.196250456034283	187.2915997314453	183.97475028991698	Y	Y	상승전환	
GS	GOLDMAN SACHS GROUP INC	0000886982	Dow 30	제외	PEG=보통, PEGY=불리(<1)	903.3311767578125	51.32	2025	1.95	164259000000.0		164259000000.0	236027000000.0	69709000000.0	124972000000.0	1684348000000.0	6.907125328852828	93.09287467114717	0.07419606874588862	-225.9697732997481	-445.4565491183879	22.005084763397516	26.28191203967655	26.591021213616184	19.517790861873507	15.71173099479697	61.68204242723237	47.535581723747015	39.92346198959394	3165.522417365565	2439.526054062697	2048.872069305961	250.4276724652732	170.0588794929576	126.81294767879727	3년	47.535581723747015	2439.526054062697	170.0588794929576	1.2970193716813267	0.9755831932800493	0.8026204481690918	-148.6712846347607	-16.45811508115591	3년	0.9755831932800492	불리(<1)	3년	19.517790861873507	1.127437265781075	보통	N	주당순현금<=0 | FCF<=0	317600000.0	-3.7975712038913145	14.436979153699237		-7.432296608372646	870.1846252441406	832.2394573974609	Y	Y	강한 상승추세	단기위험부채 존재
CSCO	CISCO SYSTEMS, INC.	0000858877	Dow 30	제외	PEG=보통, PEGY=불리(<1)	92.57499694824219	2.55	2025	1.83	8346000000.0	7764000000.0	16110000000.0	22861000000.0	31000000.0	46843000000.0	75448000000.0	38.30453590206965	61.69546409793034	0.6208647015162762	-1.6885942971485743	-1.6963481740870434	36.96611421387873	36.969154949933035	0.3937007874015664	-3.299135343193793	32.687404272277206	9.287401574803132	1.9017293136124138	73.87480854455441	23.682874015747984	4.849409749711655	188.38076178861374	-74.41763457039177	-94.76164200964227	103.48989251810146	5년	73.87480854455441	188.38076178861374	103.48989251810146	0.06015511326226141	-0.039742758318974565	0.9337579836648837	3.3236618309154577	3.590237040757005	5년	0.9337579836648836	불리(<1)	5년	32.687404272277206	1.1308978194157306	보통	N	주당순현금<=0	3998000000.0	11.370469111830527	26.60374338102287		0.0	81.98659973144531	75.17954990386963	Y	Y	강한 상승추세	단기위험부채 존재
JNJ	JOHNSON & JOHNSON	0000200406	Dow 30	제외	PEG=보통, PEGY=불리(<1)	224.21499633789062	11.03	2025	2.36	19709000000.0	393000000.0	20102000000.0	39438000000.0	8495000000.0	81544000000.0	117666000000.0	40.933688067868076	59.066311932131924	0.693012424999575	-7.959166872478801	-11.455915040750803	21.049334833215724	21.366356425987437	90.50086355785837	17.90172233284293	14.890675456717407	189.50172711571673	44.30344466568586	38.281350913434814	2090.2040500863554	488.666994662515	422.24330057518597	832.2320470199196	117.9457229194861	88.3207222851713	3년	44.30344466568586	488.666994662515	117.9457229194861	4.411581852521272	0.9625825468304136	0.8195354196891744	8.108174857989628	3.61625002360264	3년	0.9625825468304136	불리(<1)	3년	17.90172233284293	1.175827355706334	보통	N	주당순현금<=0	2429400000.0	-3.8138134521114253	18.711289516766485		-9.796423834847545	238.1472003173828	206.5799001312256	N	Y	중립/개선	단기위험부채 존재
