티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
NXT	Nextpower Inc.	0001852131	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	83.36000061035156	3.84	2026		1094976000.0		1094976000.0	0.0	0.0	2334397000.0	1738815000.0	57.31096245420076	42.68903754579924	1.34252177488692	7.170295091220365	7.170295091220365	19.841069145607083	19.841069145607083	10.662824207492786	476.8998281229633		29.825648414985572	962.2996562459266		114.5304899135446	3695.230679984358		37.39262125115954	4332.858268867968		3년	962.2996562459266	3695.230679984358	4332.858268867968				3.3634594264019313	4.034860126889515	판정불가		판정불가	3년	476.8998281229633	0.0416042698604019	매우 유망	Y		152710033.0	-33.78872152498202	-29.796191586603747		-46.700764793172176	94.18600021362305	108.19125011444092	N	N	주의	
GOLD	Gold.com, Inc.	0001591588	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	46.869998931884766	3.02	2026	1.71	6291000.0		6291000.0	91859000.0	149000.0	875713000.0	3198553000.0	21.493761084818715	78.50623891518129	0.2737841142541643	-3.1386588219758935	-3.1441241847806154	16.559158196642603	16.56096791942562	325.3521126760563	-21.9021229799764	-29.859929353703286	659.2042253521126	-35.3042459599528	-51.21985870740657	1990.7967605633803	-106.61882279905745	-154.68397329636784	4147.486251187173	-327.4777581156007	-430.0276868390097	1년	659.2042253521126	1990.7967605633803	4147.486251187173	19.751131596917087	-1.2193930838869809	-1.6999613760203542	44.38593531064535	94.70009883113192	1년	19.751131596917087	안심	1년	325.3521126760563	0.0508961139377326	매우 유망	N	주당순현금<=0	27262600.0	10.934908714520164	6.595400570096377		-26.925476492210375	43.27140007019043	43.67954998016357	Y	Y	상승전환	단기위험부채 존재
SE	Sea Ltd	0001703399	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	101.2699966430664	2.52	2025		4158920000.0	6413261000.0	10572181000.0	1026000.0	856000.0	12526503000.0	16722651000.0	42.82688996748419	57.173110032515815	0.7490739955046601	16.56331158752774	16.56197037223774	33.61376391092804	33.61429613921773	240.54054054054052			489.58108108108104			1233.7443243243242			1118.2723069229946			1년	489.58108108108104	1233.7443243243242	1118.2723069229946				7.0675684411233775	6.9789361858414445	판정불가		판정불가	1년	240.54054054054052	0.1397426140117233	매우 유망	Y		638227141.0	10.944344870034506	25.05555994694284		-47.51762379795327	111.8872003173828	104.56045001983642	N	N	중립/개선	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	924.9299926757812	17.69	2025	22.0	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	50.47326295428425	50.48616633865764	217.02508960573476			442.5501792114695			7828.712670250897			746.4113751574624			1년	442.5501792114695	7828.712670250897	746.4113751574624	4.73567737877834					1년	4.73567737877834	안심	1년	217.02508960573476	0.2325687921427796	매우 유망	N	FCF<=0	276000000.0	-16.652698498323815	5.418340445371106		-21.273172615628134	986.2170043945313	900.1423489379882	N	Y	중립/개선	단기위험부채 존재
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	36.02000045776367	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	22.51648036375656	26.14965460782393	72.00000000000001			152.50000000000003			196.72500000000005			446.15490699583927			1년	152.50000000000003	196.72500000000005	446.15490699583927				0.7109781593345492	1.9738427270933212	판정불가		판정불가	1년	72.00000000000001	0.3127288939410633	매우 유망	Y		134886000.0	-31.101757270836504	-19.310033713583906		-50.20047069555225	38.92240005493164	41.116050024032596	N	N	주의	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1825.2099609375	39.4	2025	0.032872930393817064	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	47.773955488312794	47.773955488312794	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-62.063729791817224	478.402737936956		3년	267.94579662844023	10557.064387160544	478.402737936956	0.09565641684542972	2.716035754593458		228.947013372699	12.543598724121729	3년	2.716035754593458	안심	3년	129.72289831422012	0.3682769665891426	매우 유망	N	주당순현금<=0	50697320.0	11.62339440942388	9.495293871161415		-27.310561964769242	1877.8759887695312	1854.3857501220702	N	N	중립/개선	
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	201.16000366210938	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	12.173405497212238	12.173405497212238	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	217.45226936108767		393.3566738072315	5년	69.84069691047767	992.4363030978878	393.3566738072315				11.040200117168974	5.488268003670012	판정불가		판정불가	5년	30.670348455238837	0.3969112224133497	매우 유망	Y		107537000.0	-21.94024286638323	0.7563284807351023		-36.79182917137176	214.7470004272461	228.44225112915038	N	N	판정불가	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	245.50999450683594	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	96.10091012005049	96.10091012005049	206.8807339449541			422.2614678899082			983.8692201834862			300.74507848848145			1년	422.2614678899082	983.8692201834862	300.74507848848145				3.4553696058923107	1.4074252304201407	판정불가		판정불가	1년	206.8807339449541	0.4645232462565634	매우 유망	Y		134684000.0	-11.715632442768154	-21.08325628732235		-50.02035871977263	249.40379943847657	313.2454997253418	N	N	주의	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	729.260009765625	28.19	2025	22.0	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	24.995721706114004	24.995721706114004	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	172.47903172717818	331.3448069429215	425.120372099593	3년	111.58656194520984	3145.6251812354653	331.3448069429215	2.1201397749143216	2.942234748701658	3.4275023947674854			3년	2.942234748701658	안심	3년	51.54328097260492	0.4849462671846433	매우 유망	N	FCF<=0	45145767.0	-12.829464091661514	-2.937458483251254		-22.727416183774828	772.50419921875	765.1328994750977	N	N	주의	
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	77.7300033569336	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	28.621010854995774	28.621010854995774	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-130.24473144723433	193.12105340626408	303.7033154092692	3년	96.54364603922382	227.8430046525682	193.12105340626408				2.5778288363282638	3.3163884278905273	판정불가		판정불가	3년	44.02182301961191	0.6501550570099061	헐값	Y		5929576000.0	-2.3001436121367624	-20.2196416776524		-43.72692347120483	85.26099975585937	96.57334999084473	N	N	주의	
