티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	비고
AMZN	AMAZON COM INC	0001018724	Dow 30	보류	PEG=보통, PEGY=판정불가	268.260009765625	7.17	2025		86810000000.0	36219000000.0	123029000000.0	65648000000.0	455000000.0	411065000000.0					5.29980604045442	5.257781472245313	36.67506328105587	36.68092444817011	29.656419529837247		-12.638188158251552	67.8128390596745		-16.776376316503104	486.2180560578662		-120.28661818932726	81.24880278751503		-144.83956378530664	1년	67.8128390596745	486.2180560578662	81.24880278751503				12.263507896924356	4.571500577979853	판정불가		판정불가	1년	29.656419529837247	1.2366652435624328	보통	Y		10827000000.0	단기위험부채 존재
MMM	3M CO	0000066740	Dow 30	제외	PEG=보통, PEGY=불리(<1)	142.5	6.0	2025	2.19	2398000000.0	404000000.0	2802000000.0	10932000000.0	1670000000.0	4702000000.0	32986000000.0	12.476119719804712	87.52388028019529	0.1425453222579276	-15.019397746166636	-18.10456308886015	26.25323295769444	26.76742718147669	351.12781954887214	-16.156804116139433	20.313637898738858	710.7556390977443	-23.813608232278867	49.127275797477715	4264.533834586466	-142.8816493936732	294.7636547848663	2892.655322516818	-200.26782413591096	106.8516875683272	5년	49.127275797477715	294.7636547848663	106.8516875683272	13.458068959286777	-0.5320032065630214	0.8571758737296151	2.5789765379641603	1.8098080968169548	5년	0.8571758737296151	불리(<1)	5년	20.313637898738858	1.2923944538424763	보통	N	주당순현금<=0	541300000.0	단기위험부채 존재
AXP	AMERICAN EXPRESS CO	0000004962	Dow 30	제외	PEG=보통, PEGY=불리(<1)	319.67999267578125	15.38	2025	1.19	654000000.0	742000000.0	1396000000.0	56387000000.0	1371000000.0	33474000000.0	266578000000.0	11.156066281844481	88.84393371815553	0.12556925177621558	-79.01005747126437	-80.97988505747126	25.922630048572536	26.050707264840867	9.77872947894362	16.01301181321386	54.27257678866031	28.05745895788724	40.52602362642772	117.04515357732062	431.52371877230576	623.2902433744584	1800.1544620191912	34.986151357290666	94.97317869579598	463.1113936632575	3년	40.52602362642772	623.2902433744584	94.97317869579598	0.42313335716287115	0.6636291063437512	2.139542812003924	22.992816091954023	7.192447640998694	3년	0.6636291063437512	불리(<1)	3년	16.01301181321386	1.618847868905043	보통	N	주당순현금<=0	696000000.0	단기위험부채 존재
MRK	Merck & Co., Inc.	0000310158	Dow 30	제외	PEG=불리, PEGY=불리(<1)	112.16000366210938	7.28	2025	3.03	14565000000.0	498000000.0	15063000000.0	46750000000.0	2300000000.0	52606000000.0					-12.639409652971679	-13.55684084563223	17.142776554269375	17.268797322491977	8.011869436201781	8.433903046142621	21.232013056721488	24.523738872403563	25.367806092285242	50.964026113442976	178.53281899109794	184.67762835183657	371.0181101058649	59.17690189182034	64.65551205596616	230.7935966403723	3년	25.367806092285242	184.67762835183657	64.65551205596616	0.6441120784165985	0.6687308213958817	1.4152907482585768	4.93019545273235	4.395680538300393	3년	0.6687308213958817	불리(<1)	3년	8.433903046142621	2.032602990629575	불리	N	주당순현금<=0	2507000000.0	단기위험부채 존재
KO	COCA COLA CO	0000021344	Dow 30	제외	PEG=불리, PEGY=불리(<1)	78.58000183105469	3.04	2025	2.7	10270000000.0	2348000000.0	12618000000.0	35547000000.0	2373000000.0	32169000000.0					-5.316253188036169	-5.866450266635752	27.597452308911468	27.77843819002975	23.577235772357728	11.551776147388226	11.17422496891589	55.654471544715456	31.603552294776453	30.84844993783178	169.189593495935	96.07479897612042	93.77928781100861	115.30871666265541	22.26367617384277	19.342435258059766	3년	31.603552294776453	96.07479897612042	22.26367617384277	0.9521616516707438	0.5164163701729163	0.5027357168196203	1.2279156039879435	1.5626311725315756	3년	0.5164163701729163	불리(<1)	3년	11.551776147388226	2.38902242882806	불리	N	주당순현금<=0	4313000000.0	단기위험부채 존재
MSFT	MICROSOFT CORP	0000789019	Dow 30	보류	PEG=불리, PEGY=안심	414.44000244140625	13.64	2025	88.0	30242000000.0	64323000000.0	94565000000.0	40152000000.0	0.0	343479000000.0	275524000000.0	55.4890687121064	44.5109312878936	1.2466391312553535	7.2890823844608175	7.2890823844608175	29.84977419772327	29.84977419772327	15.593220338983048	12.226568954799856	56.34799019984356	39.6864406779661	32.95313790959971	121.19598039968712	541.3230508474576	449.48080108694006	1653.1131726517324	30.615540888572923	8.454975011850575	298.87876723131967	3년	32.95313790959971	449.48080108694006	8.454975011850575	3.4704858955644764	3.3576994013725048	4.8358151469987805	9.59290020093771	2.314665607669945	3년	3.3576994013725048	안심	3년	12.226568954799856	2.441385993738249	불리	Y		7465000000.0	
NKE	NIKE, Inc.	0000320187	Dow 30	보류	PEG=불리, PEGY=불리(<1)	44.400001525878906	2.16	2025	3.69	7464000000.0	2583000000.0	10047000000.0	7961000000.0	5000000.0	13213000000.0					1.402258671685937	1.3988975531056735	19.906362432496746	19.907918505913532	-42.0911528150134	-16.796647077923833	6.185875879493463	-75.6823056300268	-25.093294155847666	20.871751758986925	-163.4737801608579	-54.20151537663096	45.08298379941176	-468.1841768982279	-222.07548088717775	1.538248310948287	5년	20.871751758986925	45.08298379941176	1.538248310948287	-1.929089402708969	-0.6584149727188474	0.49611655132789556	2.1968271040602314	4.947808622888881	5년	0.4961165513278955	불리(<1)	5년	6.185875879493463	3.218034571060097	불리	Y		1487600000.0	단기위험부채 존재
SHW	SHERWIN WILLIAMS CO	0000089800	Dow 30	제외	PEG=불리, PEGY=불리(<1)	318.0	10.26	2025	1.01	207200000.0		207200000.0	9320700000.0	1200500000.0	4598300000.0					-36.39576677316294	-41.19009584664537	34.54149773617573	35.008781271602864	-2.7488151658767856	9.945304600039684	18.130624645897143	3.0023696682464287	28.390609200079368	44.761249291794286	30.804312796208357	291.2876503928143	459.25041773380934	-90.31310918358227	-8.400109939366562	44.41837035654381	3년	28.390609200079368	291.2876503928143	-8.400109939366562	-0.05033988911418	0.317163566088394	0.554134183528786	13.284496805111822	4.177514718588623	3년	0.317163566088394	불리(<1)	3년	9.945304600039684	3.4731462861416933	불리	N	주당순현금<=0	250400000.0	단기위험부채 존재
CAT	CATERPILLAR INC	0000018230	Dow 30	제외	PEG=불리, PEGY=양호	889.6699829101562	18.81	2025	68.0	9980000000.0		9980000000.0	30696000000.0	5514000000.0	21318000000.0	77267000000.0	21.623979307196837	78.37602069280317	0.2759004490921092	-43.8619521490578	-55.53673512597925	49.62955529288751	50.250224244345326	-14.693877551020417	14.168748532167829	67.65638212373489	-20.887755102040835	36.83749706433566	143.81276424746977	-392.8986734693881	692.9133197801536	2705.1180954949064	-144.1622939985225	-22.11569086397649	204.05860009419737	3년	36.83749706433566	692.9133197801536	-22.11569086397649	1.0740801954479524	1.6556414428308117	2.733378957823868	18.882066483167478	2.1223674897295366	3년	1.6556414428308115	양호	3년	14.168748532167829	3.5027479794853944	불리	N	주당순현금<=0	472300000.0	단기위험부채 존재
WMT	Walmart Inc.	0000104169	Dow 30	제외	PEG=불리, PEGY=보통	131.60000610351562	2.73	2026	75.0	10727000000.0		10727000000.0	34624000000.0	6596000000.0	99617000000.0					-2.9789329344303166	-3.801171777611568	49.29631466591426	49.597501055357945	13.278008298755179	-13.852054624316834	-10.485413986679248	35.05601659751036	-19.204109248633667	-12.470827973358496	95.70292531120327	-52.42721824876991	-34.04536036726869	-27.277415750327528	-139.838309891514	-125.87033342573622	1년	35.05601659751036	95.70292531120327	-27.277415750327528	1.7907628368778379	1.2404161607229367	1.3087101226641817	1.8602592869608576	1.4135708211879496	3년	1.2404161607229367	보통	1년	13.278008298755179	3.71262869827667	불리	N	주당순현금<=0	8022000000.0	단기위험부채 존재
