티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
SE	Sea Ltd	0001703399	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	84.87000274658203	2.52	2025		4158920000.0	6413261000.0	10572181000.0	1026000.0	856000.0	12526503000.0	16722651000.0	42.82688996748419	57.173110032515815	0.7490739955046601	16.56331158752774	16.56197037223774	27.105829825021544	27.106362053311226	240.54054054054052			489.58108108108104			1233.7443243243242			1353.6871502269519			1년	489.58108108108104	1233.7443243243242	1353.6871502269519				7.0675684411233775	8.32752234287869	판정불가		판정불가	1년	240.54054054054052	0.1126871576995277	매우 유망	Y		638227141.0	-25.11250209534016	-43.39735803342564		-56.809158907591836	85.84160003662109	133.78390007019044	N	N	주의	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1073.0799560546875	17.69	2025	14.000000000000002	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	58.84804889995448	58.860952284327865	217.02508960573476			442.5501792114695			7828.712670250897			629.5553911037662			1년	442.5501792114695	7828.712670250897	629.5553911037662	3.9257901310966568					1년	3.9257901310966568	안심	1년	217.02508960573476	0.2711578140889727	매우 유망	N	FCF<=0	276000000.0	35.69721239152865	86.58041607016077		-6.650550337423478	948.5857958984375	723.3551492309571	Y	Y	강한 상승추세	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1557.300048828125	39.4	2025	0.03852822071453106	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	40.974211526145915	40.974211526145915	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-55.53736846223283	577.9081780100618		3년	267.94579662844023	10557.064387160544	577.9081780100618	0.11166879167268624	3.166904784784767		228.947013372699	14.701535105260069	3년	3.166904784784767	안심	3년	129.72289831422012	0.3158595133057889	매우 유망	N	주당순현금<=0	50697320.0	-23.10844261018993	-26.14531078894029		-40.416198212719756	1753.21740234375	2073.8210540771483	N	N	주의	
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	37.650001525878906	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	23.780047083225732	27.413221327293105	72.00000000000001			152.50000000000003			196.72500000000005			422.509938983084			1년	152.50000000000003	196.72500000000005	422.509938983084				0.7109781593345492	1.8883881288712698	판정불가		판정불가	1년	72.00000000000001	0.3302784317114684	매우 유망	Y		134886000.0	-25.07462382909671	24.586374524638146		-27.133727772207862	37.49800003051758	36.220750150680544	Y	Y	강한 상승추세	단기위험부채 존재
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	233.27000427246094	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	14.433081824471321	14.433081824471321	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	173.75444119525088		325.4453144085836	5년	69.84069691047767	992.4363030978878	325.4453144085836				11.040200117168974	4.732798866104511	판정불가		판정불가	5년	30.670348455238837	0.4705874745940811	매우 유망	Y		107537000.0	3.107319045529855	-12.841880322388931		-18.03295714038311	198.43020080566407	223.14450073242188	Y	Y	상승전환	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	284.8399963378906	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	112.98073923209114	112.98073923209114	206.8807339449541			422.2614678899082			983.8692201834862			245.41118973206775			1년	422.2614678899082	983.8692201834862	245.41118973206775				3.4553696058923107	1.213091437409439	판정불가		판정불가	1년	206.8807339449541	0.546115324891261	헐값	Y		134684000.0	-11.808784863175937	-35.65846205473255		-42.013762544267166	315.4143994140625	392.06344955444337	N	N	주의	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=헐값, PEGY=안심	931.5	28.19	2025	14.000000000000002	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	32.169896599139015	32.169896599139015	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	113.32051673461083	237.6945980929109	311.1103464148984	3년	111.58656194520984	3145.6251812354653	237.69459809291092	1.3986499351392314	2.037410371233804	2.414458988616276			3년	2.037410371233804	안심	3년	51.54328097260492	0.6241336599475925	헐값	N	FCF<=0	45145767.0	19.56256246273389	43.45334670202534		-1.2980132450331139	794.3551989746094	694.5332009887695	Y	Y	강한 상승추세	
TM	TOYOTA MOTOR CORP/	0001094517	Company Add-ons	보류	PEG=헐값, PEGY=보통	183.8000030517578	3.23	2012	3.06	18270000000.0		18270000000.0		43482000000.0	129166000000.0	241472000000.0	34.849637651832786	65.1503623481672	0.5349108799363902	6.4194955899787	-8.858693093297372	54.91656577764059	59.64665515326786	193.6363636363636	64.92633517465735		395.7727272727272	138.3526703493147		1278.345909090909	446.8791252282865		595.5091881750016	143.13336115802238		3년	138.3526703493147	446.8791252282865	143.13336115802238	3.5817309558794186	1.237993203179106		5.965527976281246	3.2456626100280106	3년	1.237993203179106	보통	3년	64.92633517465735	0.8458288247736511	헐값	Y		2846018000.0	-22.850907146645582	-9.000887741529196		-25.97365660244545	207.42499908447266	207.57304992675782	N	N	주의	단기위험부채 존재
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	98.80000305175781	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	37.548976827378915	37.548976827378915	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-123.79476725007301	130.61032147257055	217.60990984513347	3년	96.54364603922382	227.8430046525682	130.61032147257055				2.5778288363282638	2.6091384177162733	판정불가		판정불가	3년	44.02182301961191	0.8529627864491366	헐값	Y		5929576000.0	-6.288530052382524	-27.23523056414816		-28.473177760633316	100.63280014038087	114.5491000366211	N	N	주의	
JD	JD.com, Inc.	0001549802	Company Add-ons	보류	PEG=헐값, PEGY=보통	30.530000686645508	0.92	2025	3.32	19660000000.0	10831000000.0	30491000000.0	449195000.0	1146000000.0	32180000000.0	57402000000.0	35.922395124020454	64.07760487597956	0.5606076443329501	10.08778726350647	9.702970032851441	22.21979719906417	22.63807679760225	-50.0	25.092130660408696	-17.655175032048053	-91.5	58.68426132081739	-26.810350064096106	-84.18	53.989520415152	-24.665522058968417	-375.72878515139433	76.84087520760588	-180.79109565745165	3년	58.68426132081739	53.989520415152	76.84087520760588	-2.1008292551817718	1.2786854175971205	-0.6451532794661062	0.7216162553906267	2.363630000526916	3년	1.2786854175971205	보통	3년	25.092130660408696	0.8855285148870757	헐값	Y		2978037127.0	7.689595329249754	-3.963511143739562		-18.040266613032195	28.996600074768068	30.48097499847412	Y	Y	상승전환	단기위험부채 존재
