티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
NXT	Nextpower Inc.	0001852131	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	85.44000244140625	3.84	2026		1094976000.0		1094976000.0	0.0	0.0	2334397000.0	1738815000.0	57.31096245420076	42.68903754579924	1.34252177488692	7.170295091220365	7.170295091220365	20.38273628911091	20.38273628911091	10.662824207492786	476.8998281229633		29.825648414985572	962.2996562459266		114.5304899135446	3695.230679984358		34.04785421452705	4224.942151679483		3년	962.2996562459266	3695.230679984358	4224.942151679483				3.3634594264019313	3.9366331112976645	판정불가		판정불가	3년	476.8998281229633	0.0427400789162277	매우 유망	Y		152710033.0	-41.083988467630206	-17.624371928418448		-45.370840296863456	102.85220016479492	108.76332508087158	N	N	주의	
SE	Sea Ltd	0001703399	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	119.36000061035156	2.52	2025		4158920000.0	6413261000.0	10572181000.0	1026000.0	856000.0	12526503000.0	16722651000.0	42.82688996748419	57.173110032515815	0.7490739955046601	16.56331158752774	16.56197037223774	40.79233691381898	40.79286914210866	240.54054054054052			489.58108108108104			1233.7443243243242			933.6329742087208			1년	489.58108108108104	1233.7443243243242	933.6329742087208				7.0675684411233775	5.921220178437599	판정불가		판정불가	1년	240.54054054054052	0.1695861197540789	매우 유망	Y		638227141.0	25.312336598794282	13.449293459757495		-39.25699714485925	108.64620056152344	106.53624996185303	Y	Y	강한 상승추세	단기위험부채 존재
GEV	GE Vernova Inc.	0001996810	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	911.9299926757812	17.69	2025	21.0	8848000000.0		8848000000.0		63000000.0	11178000000.0	50720000000.0	18.058741801027498	81.9412581989725	0.22038643533123028	32.05797101449275	31.829710144927535	49.73838449187611	49.7512878762495	217.02508960573476			442.5501792114695			7828.712670250897			758.4773757994208			1년	442.5501792114695	7828.712670250897	758.4773757994208	4.7855412281155205					1년	4.7855412281155205	안심	1년	217.02508960573476	0.2291826469567867	매우 유망	N	FCF<=0	276000000.0	-4.061900208730817	3.4896389223074475		-22.37968744821134	1031.6494006347657	877.4312487792969	N	Y	중립/개선	단기위험부채 존재
ENPH	Enphase Energy, Inc.	0001463101	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	37.25	1.29	2025		474318000.0	1038536000.0	1512854000.0	572194000.0	632183000.0	1087023000.0	2422769000.0	30.971151566816495	69.02884843318351	0.448669683325154	6.973740788517711	2.2869460136708035	23.469968380994022	27.103142625061395	72.00000000000001			152.50000000000003			196.72500000000005			428.12080536912765			1년	152.50000000000003	196.72500000000005	428.12080536912765				0.7109781593345492	1.908666199555837	판정불가		판정불가	1년	72.00000000000001	0.3259717830693613	매우 유망	Y		134886000.0	-41.55946184641517	-16.685303594791257		-48.49993217612941	41.69620002746582	40.5735000038147	N	N	주의	단기위험부채 존재
MELI	MERCADOLIBRE INC	0001099590	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	1966.25	39.4	2025	0.030514939605848695	3670000000.0	2629000000.0	6299000000.0	9193000000.0		6748000000.0	35919000000.0	15.81550144139499	84.18449855860501	0.18786714552186864	-57.08388530202385	-57.08388530202385	51.35365191121888	51.35365191121888	4.537012470151236	129.72289831422012		17.574024940302472	267.94579662844023		692.4165826479174	10557.064387160544		-64.78491633068444	436.9136369821002		3년	267.94579662844023	10557.064387160544	436.9136369821002	0.08894260173849969	2.526663799453756		228.947013372699	11.643840476678905	3년	2.526663799453756	안심	3년	129.72289831422012	0.3958719129665756	매우 유망	N	주당순현금<=0	50697320.0	13.591723889697382	10.649971862689922		-21.693607532494376	1821.8947924804688	1862.4942510986327	Y	Y	상승전환	
FSLR	FIRST SOLAR, INC.	0001274494	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	204.4600067138672	14.21	2025		2803514000.0	509032000.0	3312546000.0	282593000.0	0.0	9537993000.0	3783317000.0	71.59951236027088	28.40048763972913	2.5210663024007767	28.17591154672345	28.17591154672345	12.405636535337349	12.405636535337349	18.21963394342763		30.670348455238837	44.93926788685526		69.84069691047767	638.5869966722133		992.4363030978878	212.32856094242814		385.3938523472509	5년	69.84069691047767	992.4363030978878	385.3938523472509				11.040200117168974	5.399686860335112	판정불가		판정불가	5년	30.670348455238837	0.4044830645938855	매우 유망	Y		107537000.0	-32.52144992941677	2.301614174656108		-35.75490755259476	224.07560119628906	231.99150100708007	N	N	판정불가	
ALNY	ALNYLAM PHARMACEUTICALS, INC.	0001178670	Company Add-ons	보류	PEG=매우 유망, PEGY=판정불가	237.10000610351562	2.33	2025		1657250000.0	1251234000.0	2908484000.0			789176000.0	4177155000.0	15.89052360787068	84.10947639212932	0.1889266737767691	21.594873927118293	21.594873927118293	92.4914730370804	92.4914730370804	206.8807339449541			422.2614678899082			983.8692201834862			314.9595929381538			1년	422.2614678899082	983.8692201834862	314.9595929381538				3.4553696058923107	1.4573469071880703	판정불가		판정불가	1년	206.8807339449541	0.4470762998244685	매우 유망	Y		134684000.0	-19.798395904535504	-27.061863364393226		-51.73242019577546	261.9273999023437	326.05419998168946	N	N	주의	
EME	EMCOR Group, Inc.	0000105634	Company Add-ons	제외	PEG=매우 유망, PEGY=안심	740.1699829101562	28.19	2025	21.0	1111968000.0		1111968000.0	0.0		3673944000.0	5616418000.0	39.54575720515519	60.4542427948448	0.654143619652241	24.630614870271227	24.630614870271227	25.382737426033522	25.382737426033522	30.994423791821568	51.54328097260492	63.67289600664736	70.48884758364314	111.58656194520984	135.84579201329473	1987.0806133829	3145.6251812354653	3829.4928768547784	168.46273954128955	324.98686164868286	417.3801917497662	3년	111.58656194520984	3145.6251812354653	324.98686164868286	2.0484167219290565	2.8579770477474864	3.3358457200839005			3년	2.8579770477474864	안심	3년	51.54328097260492	0.4924548252860419	매우 유망	N	FCF<=0	45145767.0	-10.924848422080192	0.5966394083128934		-21.571392539321188	790.3047973632813	756.3522500610352	N	N	판정불가	
PDD	PDD Holdings Inc.	0001737806	Company Add-ons	보류	PEG=헐값, PEGY=판정불가	85.69000244140625	2.36	2025		15572577000.0	44816702000.0	60389279000.0			59113291000.0	30981848000.0	65.61207591899047	34.387924081009515	1.9079975797441133	10.184417739143575	10.184417739143575	31.993891822992662	31.993891822992662	-9.230769230769239	44.02182301961191	62.23275436857567	-9.961538461538478	96.54364603922382	132.96550873715134	-23.509230769230808	227.8430046525682	313.79860061967713	-127.43520842505067	165.89216730197248	266.2021142247588	3년	96.54364603922382	227.8430046525682	165.89216730197248				2.5778288363282638	3.0083192471501574	판정불가		판정불가	3년	44.02182301961191	0.7267734416346012	헐값	Y		5929576000.0	-1.7767027284705916	-16.6601802220004		-37.96423701417776	85.00779968261719	99.32099994659424	Y	N	주의	
VRT	Vertiv Holdings Co	0001674101	Company Add-ons	제외	PEG=헐값, PEGY=보통	257.0799865722656	3.41	2025	9.0	1728400000.0		1728400000.0	2892100000.0	20900000.0	3941300000.0	8271100000.0	32.27293570469359	67.7270642953064	0.4765146111158129	-2.9788598174833623	-3.032360006694845	76.26359131664192	76.27928052168927	166.40624999999997		95.30556878636357	341.31249999999994		199.11113757272713	1163.875625		678.9689791229996	352.72898933843396		164.10806542194223	5년	199.11113757272713	678.9689791229996	164.10806542194223	2.299999868505059		1.367698097946804	4.8477826951533824	1.8857098756657444	5년	1.367698097946804	보통	5년	95.30556878636357	0.800200788766016	헐값	N	주당순현금<=0	390652824.0	-20.504661576597716	-0.2599470136699811		-31.669463077041005	289.30919952392577	255.06750022888184	N	Y	중립/개선	단기위험부채 존재
