순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	010140	삼성중공업	직접추가	메인	21400.0		639.0	772614649370.0	311797002761.0	592438711867.0	1454489650793.0						판정불가	일반	일반	559.0601593909091	-1093.7689892375	32.61492932802675	35.20151641508216	N	Y	752.0			1512.5			966487.5			4416.296728971963			1년	1512.5	966487.5	4416.296728971963		23.056925631716435			1530.2205002727273	7.150563085386577	1년	23.056925631716435	안심(>=2)	1년	752.0	0.043370916659610036	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	880000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	139130	iM금융지주	직접추가	메인	18120.0	700.0	2511.0		10012037000000.0	9824584000000.0							판정불가	일반	일반	1167.025597818984	1167.025597818984	6.75148323463999	6.75148323463999	N	N	123.9964317573595			256.49286351471903			644053.5802854595			3454.3795821493354			1년	256.49286351471903	644053.5802854595	3454.3795821493354	3.863134657836645	18.937996581134072					1년	18.937996581134072	안심(>=2)	1년	123.9964317573595	0.0544490122736074	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	160624583.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
3	071970	HD현대마린엔진	직접추가	메인	50200.0		4867.0	94276230277.0	247003276789.0								판정불가	일반	일반	10060.862797055377	10060.862797055377	8.247203041492629	8.247203041492629	N	N	97.52435064935065	113.65854515790357	162.5665198099373	203.5487012987013	235.81709031580715	333.6330396198746	990671.5292207792	1147721.7785670334	1623792.0038299295	1873.4492613959744	2186.298363679349	3134.6454259560346	3년	235.81709031580715	1147721.7785670334	2186.298363679349		11.825142434191859	13.781465617625072	19.71171547396692			3년	13.781465617625072	안심(>=2)	3년	113.65854515790357	0.07256122300382213	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	33921495.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	015760	한국전력	유틸리티	메인	32150.0	1542.0	13311.0	2240811000000.0	4250164000000.0	83995702000000.0							판정불가	일반	일반	-120730.62929345189	-120730.62929345189	11.48528504946675	11.48528504946675	Y	Y	144.73248758963044			297.9649751792609			3966211.7846111413			12236.584088992662			1년	297.9649751792609	3966211.7846111413	12236.584088992662	4.796267496111975	13.019159249572553			7699.067871674695	23.947333970994386	1년	13.019159249572553	안심(>=2)	1년	144.73248758963044	0.07935526598583544	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	641964077.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	004490	세방전지	직접추가	메인	64400.0	2650.0	10646.0	227178088991.0	123000000000.0	162095437595.0	251228623014.0						판정불가	일반	일반	13434.475099714286	-4510.426544142857	4.787293340248517	6.472893720096079	N	Y	-17.389617443935744	48.94307252053962	16.711840434713388		106.38614504107925	41.923680869426775		1132586.9001073297	446319.50653591746		1658.6753107256673	593.0427120122941	3년	106.38614504107925	1132586.9001073297	1658.6753107256673	4.114906832298137	-2.7729052030366064	11.08308507163328	4.350422208706845	11070.1328675	17.18964730978261	3년	11.08308507163328	안심(>=2)	3년	48.94307252053962	0.0978135023754274	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	14000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	402340	SK스퀘어	직접추가	메인	1041000.0		66713.0	1310718000000.0	317762000000.0	86661000000.0	0.0						판정불가	일반	일반	11672.743401201547	11672.743401201547	15.429185565014292	15.429185565014292	N	N	140.21676508713813			288.93353017427626			19275622.59851649			1751.644822143755			1년	288.93353017427626	19275622.59851649	1751.644822143755		9.08776192342128			2638.92507607574	0.25349904669315465	1년	9.08776192342128	안심(>=2)	1년	140.21676508713813	0.11003809391427465	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	132087115.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
7	009540	HD한국조선해양	직접추가	메인	348500.0	12300.0	30664.0	3742015549000.0		398797408000.0							판정불가	일반	일반	47238.53250999998	47238.53250999998	9.824597817962433	9.824597817962433	N	N	84.96802991916998			178.43605983833996			5471563.338882856			1470.032521917606			1년	178.43605983833996	5471563.338882856	1470.032521917606	3.5294117647058822	9.007741927315834					1년	9.007741927315834	안심(>=2)	1년	84.96802991916998	0.11562699320330912	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	70773116.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	069620	대웅제약	직접추가	메인	116100.0	600.0	17022.0	168941641596.0	50139032546.0	550560567693.0	70828808025.0						판정불가	일반	일반	-28608.962834228405	-34721.96931155238	8.501290261674798	8.8604141294532	Y	Y	691.7209302325581	64.61424206621207	70.08103158930474	1391.9418604651162	137.72848413242414	148.6620631786095	23693634.348837208	2344414.256902124	2530525.6394262905	20307.953788834806	1919.3059921637587	2079.6086472233337	3년	137.72848413242414	2344414.256902124	1919.3059921637587	0.516795865633075	81.42737217418768	7.661312098172495	8.304366194059309	-7954.179962240783	-6.851145531645808	3년	7.661312098172495	안심(>=2)	3년	64.61424206621207	0.13156991384288438	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	11586575.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	011210	현대위아	직접추가	메인	57600.0	1200.0	5351.0	1116473000000.0	572468000000.0	739686000000.0	71245000000.0						판정불가	일반	일반	34905.39080171221	32285.615748994038	4.241190281870265	4.730776350402908	N	N	46.32212195788898	29.51602682110046	18.44874189552963	101.14424391577796	67.53205364220092	45.39748379105926	541222.8491933278	361364.01903941715	242921.9357659581	839.6230020717496	527.3680886100992	321.7394718158995	3년	67.53205364220092	361364.01903941715	527.3680886100992	2.083333333333333	11.413176979618243	7.450587701643798	4.841111542821134	5543.207939464645	9.623624894903898	3년	7.450587701643798	안심(>=2)	3년	29.51602682110046	0.14369109730034252	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	27195083.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	000660	SK하이닉스	반도체	메인	1647000.0	3000.0	62044.0	14923766000000.0	20018487000000.0								판정불가	일반	일반	47997.4443489617	47997.4443489617	25.772073941896693	25.772073941896693	N	N	115.94041486843936	167.48263503477668	54.92375157287208	240.38082973687872	343.46527006955336	118.34750314574416	14914188.200194903	21309959.216195367	7342752.485174551	805.5366241769825	1193.8651618819288	345.82589466755013	3년	343.46527006955336	21309959.216195367	1193.8651618819288	0.18214936247723132	4.5057516322790185	6.505676833585657	2.1382020344806523	34057.28359137954	2.0678374979586853	3년	6.505676833585657	안심(>=2)	3년	167.48263503477668	0.1538790808763266	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	728002365.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
