종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고	시장구분	시장상승세	시장사유	업종상승세	업종사유	종가	MA30	MA30위	MA30우상향	최근피벗고점개수	윗저항개수(10%)	가장가까운윗저항	윗저항여유(%)	윗저항적음	돌파기준가격	저항돌파	1주최고거래량/지난달평균	최근20일누적/직전20일누적	돌파거래량급증	늦은진입거리(%)	늦은진입아님	기술점수	타이밍종합판정	타이밍사유
047050	포스코인터내셔널	에너지/상사	watchlist	85200.0	1850.0	3603.0	1171465925000.0	32399478000.0	3152207468000.0	2325933168000.0						판정불가	일반	일반	-11074.984015146463	-24296.313636184528	26.720783795488888	30.39031741220775	Y	Y	19.344153693275913	-8.992163844445855	13.250872999134566	47.18830738655183		35.00174599826913	170019.47151374622		126111.29083176368	99.55337032129839		48.017946985638126	3년				2.171361502347418	0.8051977576816316	-0.25526206095982684	0.5771625046450033	5016.375456714567	5.887764620557003	3년	-0.25526206095982684	불리(<1)	3년	-8.992163844445855		판정불가	N	주당순현금<=0	제외	하드필터 미통과	175922788.0	린치식 단독판정 비중 낮춤; 주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	85400.0	76626.66666666667	Y	Y	14.0	0.0			Y	85100.0	Y	1.0106865277577934	0.6450223344633282	N	0.3525264394829586	Y	7	B. 관찰	거래량 급증 미확인
003230	삼양식품	직접추가	메인	1282000.0	4800.0	52156.0	332840576772.0	3879418399.0	340183053989.0	92341086958.0						판정불가	일반	일반	-459.7174993014085	-12717.901899305922	24.588920114642637	24.823949342344235	Y	Y	43.018536799385764	69.73880446754251	42.35358590359803	94.53707359877153	147.97760893508502	93.20717180719606	4930675.610617528	7717920.171618294	4861313.252776118	284.60808195144523	502.02185426039733	279.19760162060203	3년	147.97760893508502	7717920.171618294	502.02185426039733	0.374414976599064	1.7647359694395217	2.8514151543560198	1.7376932651366288	-20189.147647522273	-1.574816509167104	3년	2.8514151543560198	안심(>=2)	3년	69.73880446754251	0.3525859140026797	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	7533015.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	1281000.0	1245733.3333333333	Y	Y	13.0	5.0	1284000.0	0.23419203747072626	N	1456000.0	N	0.9160989057156291	1.0541153981628428	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
010120	LS ELECTRIC	전력설비	메인	262500.0	3000.0	9647.0	762716704001.0	205184236697.0	773010797653.0	302192853551.0						판정불가	일반	일반	6496.3381015	-3576.7570168666666	26.537126764641858	27.581295430379043	N	Y	19.423124535776193	45.94979891928113	27.235637161019888	47.346249071552386	100.39959783856226	62.971274322039775	456749.26479326584	968554.9203486101	607483.8833847177	73.99971992124412	268.9733029899467	131.42243176560675	3년	100.39959783856226	968554.9203486101	268.9733029899467	1.1428571428571428	0.7749890129791861	1.7745951353288427	1.0693883537417703	3012.7272868333334	1.1477056330793651	3년	1.7745951353288427	양호(>=1.5)	3년	45.94979891928113	0.5775243284798476	헐값	Y	통과	양호	배당감안점수>=1.5 & 린치PER배수<1	30000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	263000.0	178213.33333333334	Y	Y	12.0	0.0			Y	188600.0	Y	3.952596336443292	1.5264111320678735	Y	39.44856839872746	N	7	B. 관찰	늦은 진입 또는 돌파 없음
036570	NC	직접추가	메인	267000.0	1150.0	17876.0	503522487163.0	1499844872739.0	177813001472.0							판정불가	일반	일반	84736.00511687186	84736.00511687186	10.196016719799069	10.196016719799069	N	N	278.087986463621	-5.903415055311056	-8.909537463398499	564.675972927242			10094147.692047378			3680.579659942838			3년				0.4307116104868914	27.316422258632446	-0.5367491634450766	-0.8315821840942115	2177.512866910366	0.8155478902286015	3년	-0.5367491634450766	불리(<1)	3년	-5.903415055311056		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	21544022.0	1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	268000.0	238200.0	Y	Y	12.0	0.0			Y	247500.0	Y	1.6687150379330304	1.0453299323463425	N	8.28282828282829	N	6	B. 관찰	거래량 급증 미확인; 늦은 진입 또는 돌파 없음
009540	HD한국조선해양	직접추가	메인	468000.0	12300.0	30664.0	3742015549000.0		398797408000.0							판정불가	일반	일반	47238.53250999998	47238.53250999998	13.721675824745631	13.721675824745631	N	N	84.96802991916998			178.43605983833996			5471563.338882856			1069.1374655732598			1년	178.43605983833996	5471563.338882856	1069.1374655732598	2.628205128205128	6.383785491375937					1년	6.383785491375937	안심(>=2)	1년	84.96802991916998	0.16149222051869452	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	70773116.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	469000.0	400966.6666666667	Y	Y	10.0	1.0	472000.0	0.6396588486140775	Y	472000.0	N	2.5505147205152996	0.921863578939603	Y		N	6	B. 관찰	저항 미돌파; 늦은 진입 또는 돌파 없음
008770	호텔신라	직접추가	메인	68800.0	200.0	-4566.0	338290693972.0		739494888568.0	24083900000.0						판정불가	일반	일반	-10222.252285555276	-10835.884209488653			Y	Y													판정불가				0.29069767441860467				1275.405833262693	1.8537875483469375	판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0 / 순현금차감PER<=0	제외	하드필터 미통과	39248121.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	69300.0	49193.333333333336	Y	Y	12.0	0.0			Y	52900.0	Y	5.697592015231464	2.2144008893934517	Y	31.00189035916825	N	7	B. 관찰	늦은 진입 또는 돌파 없음
002790	아모레퍼시픽홀딩스	직접추가	메인	29650.0	400.0	1366.0	596631422270.0	1336881950600.0		256253631834.0						판정불가	일반	일반	24333.723385937104	21108.710783911738	3.8918569649069514	6.252773950284233	N	N	-50.96913137114143												1년				1.3490725126475547	-12.749712876377567			6579.082341427906	22.189147863163257	1년	-12.749712876377567	불리(<1)	1년	-50.96913137114143		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	79458180.0	단기위험부채 존재; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	29750.0	27980.0	Y	Y	11.0	1.0	30950.0	4.033613445378159	Y	35050.0	N	3.209358316872557	0.7698484149787331	Y		N	6	B. 관찰	저항 미돌파; 늦은 진입 또는 돌파 없음
180640	한진칼	직접추가	메인	113600.0	360.0		110930322000.0	30600000000.0	366131984000.0	0.0						판정불가	일반	일반	-3364.2000447588075	-3364.2000447588075			Y	Y													판정불가				0.31690140845070425				1732.6632753204844	1.5252317564440885	판정불가		판정불가	판정불가			판정불가	N	주당순현금<=0 / 순현금차감PER<=0	제외	하드필터 미통과	66762279.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	114000.0	115953.33333333333	N	N	13.0	4.0	117700.0	3.2456140350877183	N	173000.0	N	1.1874188518983522	0.8331784382972682	N		N	2	D. 제외/후순위	MA30 아래; MA30 우하향/평탄; 윗저항 많음; 저항 미돌파; 거래량 급증 미확인
006360	GS건설	직접추가	메인	42900.0	500.0	1073.0	3015810000000.0	301590000000.0								판정불가	일반	일반	38763.054954990854	38763.054954990854	3.8554939841650944	3.8554939841650944	N	N	-62.91047355686139	-35.490770024369326	-22.823533314849886										3년				1.1655011655011656	-16.01480190215653	-8.902949660885357	-5.617446749573585	3464.721168093708	8.076273119099554	3년	-8.902949660885357	불리(<1)	3년	-35.490770024369326		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	85581490.0	1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	42800.0	33510.0	Y	Y	13.0	1.0	43100.0	0.7009345794392496	Y	43100.0	N	1.3579354056883377	1.8449110889896578	N		N	5	B. 관찰	저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
014680	한솔케미칼	직접추가	메인	296500.0	2600.0	13428.0	112551479633.0	97254225348.0	138153315888.0	52809626645.0						판정불가	일반	일반	6321.231270657452	1662.3236254868134	21.609976819283776	21.9569315143367	N	N	22.295081967213104	-1.612254890420728	3.943248256290177	53.09016393442621	5.275490219158544	16.386496512580354	712894.7213114752	70839.28266286093	220037.875170929	140.43666823321254	-76.10816773596596	-25.788237716381445	3년	5.275490219158544	70839.28266286093	-76.10816773596596	0.8768971332209106	1.0722815343215166	-0.034028623137791474	0.22305185377199505	10281.03332708436	3.467464865795737	3년	-0.034028623137791474	불리(<1)	3년	-1.612254890420728		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	11335195.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSPI	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	296000.0	278566.6666666667	Y	Y	13.0	2.0	297500.0	0.5067567567567544	N	338000.0	N	1.3390570294592834	1.1084887918675401	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
