종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고	시장구분	시장상승세	시장사유	업종상승세	업종사유	종가	MA30	MA30위	MA30우상향	최근피벗고점개수	윗저항개수(10%)	가장가까운윗저항	윗저항여유(%)	윗저항적음	돌파기준가격	저항돌파	1주최고거래량/지난달평균	최근20일누적/직전20일누적	돌파거래량급증	늦은진입거리(%)	늦은진입아님	기술점수	타이밍종합판정	타이밍사유
035900	JYP Ent.	직접추가	메인	62900.0	877.0	4846.0	294471835825.0	24871949033.0	7018179911.0							판정불가	일반	일반	8789.859291236877	8789.859291236877	11.165939064953182	11.165939064953182	N	N	64.21552016265673	33.4510703273257	40.282569178136505	136.93104032531346	75.4021406546514	89.06513835627301	663567.821416469	365398.7736124407	431609.660474499	954.9567908051973	480.92014882740966	586.1838799276613	3년	75.4021406546514	365398.7736124407	480.92014882740966	1.3942766295707474	5.875887053526794	3.1206821705006815	3.7324980519121254	2865.683088481382	4.555934957840035	3년	3.1206821705006815	안심(>=2)	3년	33.4510703273257	0.33379915666949184	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	35532492.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	63400.0	62373.333333333336	Y	N	13.0	7.0	64300.0	1.4195583596214423	N	77500.0	N	1.5106788144868142	0.7258020332245781	N		N	3	C. 보류	MA30 우하향/평탄; 윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
036930	주성엔지니어링	반도체소부장	메인	126100.0	53.0	781.0	164383610031.0	0.0	104241855386.0	45000000000.0						판정불가	일반	일반	1272.3480202522953	320.33620667423327	159.8305403069753	161.0495054972161	N	N	-65.625	-29.310632286282456											3년				0.04203013481363997	-0.4103281496716819	-0.18312271293868285				3년	-0.18312271293868285	불리(<1)	3년	-29.310632286282456		판정불가	N	주당FCF<=0	제외	하드필터 미통과	47268321.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	126700.0	78466.66666666667	Y	Y	8.0	0.0			Y	77400.0	Y	3.9354209586628377	1.085950715332746	Y	63.695090439276484	N	7	B. 관찰	늦은 진입 또는 돌파 없음
039030	이오테크닉스	직접추가	메인	505000.0	500.0	4689.0	236305275966.0	99448229801.0		7000000000.0						판정불가	일반	일반	27253.715092434384	26685.512520100165	101.88660373375254	102.00778150563016	N	N	21.162790697674417	-9.341714757581144	21.872789158097493	50.825581395348834		52.24557831619499	238321.1511627907		244979.5167246383	-52.807692839051356		-51.48920460898252	3년				0.09900990099009901	0.20868102203333136	-0.09071560458275599	0.21564953834857165	7809.347047497677	1.546405355940134	3년	-0.09071560458275599	불리(<1)	3년	-9.341714757581144		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	12319550.0	단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	514000.0	444033.3333333333	Y	Y	10.0	0.0			Y	490000.0	Y	1.0478971563333104	0.6755446157026238	N	4.8979591836734615	Y	7	B. 관찰	거래량 급증 미확인
041510	에스엠	직접추가	메인	92700.0	1620.0	15166.0	364611980599.0	229637014667.0	71674775222.0	5166699000.0						판정불가	일반	일반	22825.127575171362	22599.45520310605	4.60733696589929	4.622217117031119	N	N	1807.6729559748428	64.77467023251435		3623.8459119496856	138.0493404650287		54959247.100628935	2093656.2974926254		59187.213700786335	2158.528907759035		3년	138.0493404650287	2093656.2974926254	2158.528907759035	1.7475728155339807	392.7258939779331	14.438328157980537				3년	14.438328157980537	안심(>=2)	3년	64.77467023251435	0.07112868269897556	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	22894690.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	95500.0	90836.66666666667	Y	N	9.0	1.0	97000.0	1.5706806282722585	Y	135000.0	N	2.1927388569277917	0.7499601413357061	Y		N	5	B. 관찰	MA30 우하향/평탄; 저항 미돌파; 늦은 진입 또는 돌파 없음
112040	위메이드	직접추가	메인	22800.0	295.0		296472812229.0	313121139570.0	4174361195.0							판정불가	일반	일반	17833.479940885725	17833.479940885725			N	N													판정불가				1.2938596491228072				1630.3323190317517	7.15058034663049	판정불가		판정불가	판정불가			판정불가	N	순현금차감PER<=0	제외	하드필터 미통과	33948483.0	EPS 미추출; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	23500.0	21686.666666666668	Y	Y	9.0	0.0	25950.0	10.425531914893615	Y	33600.0	N	1.0207982175322927	1.385381454438241	N		N	5	B. 관찰	저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
067160	SOOP	직접추가	메인	60000.0	3380.0	9556.0	134011835737.0	116354281889.0	5107094014.0	341000000.0						판정불가	일반	일반	21336.580690326304	21306.915017242194	4.045983602937809	4.0490880057302014	N	N	0.7060807250500512	20.62187794636918	22.171262636843704	9.912161450100102	49.74375589273836	52.84252527368741	94720.61481715657	475351.3313110078	504963.17151535687	57.86769136192762	692.2522188516797	741.6052858589283	3년	49.74375589273836	475351.3313110078	692.2522188516797	5.633333333333333	1.566841262970098	6.48920357972743	6.872147467426211	8736.18659282089	14.560310988034816	3년	6.48920357972743	안심(>=2)	3년	20.62187794636918	0.196198600993571	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11494767.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	60300.0	60056.666666666664	Y	N	13.0	2.0	60600.0	0.4975124378109541	N	75400.0	N	0.8432508476843172	0.5981621431002456	N		N	3	C. 보류	MA30 우하향/평탄; 윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
214150	클래시스	직접추가	메인	60600.0	1000.0	2017.0	37521303951.0	180409959460.0	65234627334.0	21324811600.0						판정불가	일반	일반	2331.044957154007	2005.5034401989606	28.888921687082792	29.050320555181475	N	N	32.959789057350044	20.077044785232843	27.870621881389045	74.41957811470009	48.654089570465686	64.24124376277808	150104.28905735008	98135.29866362929	129574.5886695234	147.69684662929055	61.9394367386622	113.81945325003859	3년	48.654089570465686	98135.29866362929	61.9394367386622	1.65016501650165	1.198035511630985	0.7520948700362692	1.021872232465168	2208.700745152415	3.6447207015716416	3년	0.7520948700362692	불리(<1)	3년	20.077044785232843	1.4389030853948834	보통	Y	통과	제외	배당감안점수<1	65505659.0	단기위험부채 존재; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	57900.0	54520.0	Y	Y	14.0	7.0	58200.0	0.5181347150259086	N	75600.0	N	1.7141240320812967	0.7721456836584932	N		N	4	C. 보류	윗저항 많음; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
035760	CJ ENM	직접추가	메인	55200.0		1422.0	782050698548.0	81389268242.0	1910894083697.0	762511078000.0						판정불가	일반	일반	-47765.368281284354	-82536.93666919389	72.40883845378646	96.86141819211949	Y	Y	-105.85594860602068		-13.10324877931166										5년					-1.4619202692165982		-0.1809620076653288	9453.190478574777	17.125345069881842	5년	-0.1809620076653288	불리(<1)	5년	-13.10324877931166		판정불가	N	주당순현금<=0	제외	하드필터 미통과	21929154.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	55500.0	56166.666666666664	N	N	10.0	1.0	55800.0	0.540540540540535	Y	80000.0	N	1.1302168216425728	0.882743690781093	N		N	3	C. 보류	MA30 아래; MA30 우하향/평탄; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
253450	스튜디오드래곤	직접추가	메인	35400.0		343.0	62972674448.0	6628164657.0	6213298151.0	22800000000.0						판정불가	일반	일반	2108.8060006857295	1350.2850659404205	97.0588746335693	99.27030593020285	N	N	-69.21005385996409	-41.162978736310784	-19.957853937370917										3년					-0.7130729067409435	-0.4241031939811296	-0.20562626563226385	-360.95876723447725	-1.0196575345606702	3년	-0.4241031939811296	불리(<1)	3년	-41.162978736310784		판정불가	N	주당FCF<=0	제외	하드필터 미통과	30058498.0	단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	35400.0	36026.666666666664	N	N	9.0	1.0	36400.0	2.824858757062154	Y	50000.0	N	0.8176977140991605	0.8976728650888864	N		N	3	C. 보류	MA30 아래; MA30 우하향/평탄; 저항 미돌파; 거래량 급증 미확인; 늦은 진입 또는 돌파 없음
036830	솔브레인홀딩스	직접추가	메인	71000.0	500.0	2086.0	217639195435.0		217106724708.0	12282000000.0						판정불가	일반	일반	25.399222698126735	-560.4606891433605	34.024257323730524	34.305110589234594	N	Y	-26.704146170063247	-12.436250420496087	-12.844437276389565										3년				0.7042253521126761	-0.7641583641508817	-0.34481355336449343	-0.3568104899033193	577.2028107060962	0.8129617052198538	3년	-0.34481355336449343	불리(<1)	3년	-12.436250420496087		판정불가	Y	통과	보류	배당감안점수 또는 린치PER배수 미산출	20964056.0	주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; 배당감안점수<1; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS	KOSDAQ	Y	지수>MA30 & MA30우상향	Y	그룹바스켓>MA30 & MA30우상향	77500.0	54411.666666666664	Y	Y	14.0	0.0			Y	67500.0	Y	4.104969535077506	1.0039191818209747	Y	14.814814814814813	N	7	B. 관찰	늦은 진입 또는 돌파 없음
