순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
11	112610	씨에스윈드	직접추가	메인	55300.0	1000.0	837.0	478878903508.0	28665354936.0	782993106603.0	242475043746.0						판정불가	일반	일반	-6531.6500890188545	-12281.40054778353	73.87293917445503	80.74241403558366	Y	Y	-75.62609202096681	371.20709785870895	-15.050492534791582		750.9141957174179			628515.1818154788			1036.5554824873036		3년	750.9141957174179	628515.1818154788	1036.5554824873036	1.8083182640144666	-0.9992532391682372	5.049418911596666	-0.17925609050839292	10303.466412416965	18.63194649623321	3년	5.049418911596666	안심(>=2)	3년	371.20709785870895	0.19900734549686058	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	42171403.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
12	192820	코스맥스	직접추가	메인	193900.0	3300.0	10847.0	192279928597.0									판정불가	일반	일반	16941.695768248654	16941.695768248654	16.314031919586185	16.314031919586185	N	N	43.4408886537953	80.71243772559032	38.50568621710888	95.3817773075906	169.92487545118064	85.51137243421776	1034606.1384554352	1843175.1240189564	927541.8567939601	433.57717300435024	850.5802599375743	378.36093697470864	3년	169.92487545118064	1843175.1240189564	850.5802599375743	1.701908200103146	2.767114657885475	5.051746026483437	2.4646019215482764	-9341.661092827891	-4.8177726110510015	3년	5.051746026483437	안심(>=2)	3년	80.71243772559032	0.2021253771946691	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	11349509.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
13	000240	한국앤컴퍼니	직접추가	메인	24400.0	1100.0	3666.0	87970654737.0	34240766097.0	15178888600.0	83728229501.0						판정불가	일반	일반	1127.4267830786544	245.4757867889732	6.3482196445502845	6.588795475507645	N	N	-0.9991898460707582	28.543628944993937	19.90708834889714	6.5016203078584835	65.58725788998788	48.31417669779428	23834.9400486092	240442.88742469557	177119.77177411385	-2.3158194729131054	885.4216697733424	625.9007039922699	3년	65.58725788998788	240442.88742469557	885.4216697733424	4.508196721311475	0.552754484204571	5.206471659290996	3.8460050907608796	2176.2560889928754	8.919082331938014	3년	5.206471659290996	안심(>=2)	3년	28.543628944993937	0.22240408382493543	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	94935240.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
14	161390	한국타이어앤테크놀로지	직접추가	메인	61800.0	2300.0	8931.0	2603079747970.0	489388296676.0								판정불가	일반	일반	24964.41026923666	24964.41026923666	4.124464195584295	4.124464195584295	N	N	-2.2545693334792616	16.43379388057411	24.1178312692236	3.990861333041477	41.36758776114822	56.7356625384472	35642.38256539343	369453.9262948148	506706.20213087194	-42.3262418035705	497.82188720843817	719.9129484318316	3년	41.36758776114822	369453.9262948148	497.82188720843817	3.7216828478964405	0.3557100861701963	4.8868109341449175	6.749849870663294	-5650.2614211339005	-9.14281783355	3년	4.8868109341449175	안심(>=2)	3년	16.43379388057411	0.25097456044277755	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	123875069.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
15	298040	효성중공업	전력설비	메인	4025000.0	7500.0	55832.0	216772513676.0		637432979185.0							판정불가	일반	일반	-45113.22859928438	-45113.22859928438	72.89929124156907	72.89929124156907	Y	Y	133.51875862645866	270.5887113046113		275.5375172529173	549.6774226092226		15383810.66326488	30689589.85911812		282.2064761059598	662.4742822141147		3년	549.6774226092226	30689589.85911812	662.4742822141147	0.18633540372670807	1.8341069131539545	3.71437145816769		33728.061849754005	0.8379642695591056	3년	3.71437145816769	안심(>=2)	3년	270.5887113046113	0.269409950215934	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	9324548.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
16	005850	에스엘	직접추가	메인	67900.0	2770.0	6749.0	477732627030.0	395471183250.0	5459184760.0							판정불가	일반	일반	18681.85736639187	18681.85736639187	7.292657080101961	7.292657080101961	N	N	-15.61640410102526	26.173083545484687	36.58097754545193		60.846167090969374	81.66195509090386		410650.7816969523	551136.5349085102		504.7876019100918	711.6885639300591	3년	60.846167090969374	410650.7816969523	504.7876019100918	4.079528718703976	-1.5819851743474524	4.1483662171272275	5.575540686685821	6628.339203100551	9.761913406628205	3년	4.1483662171272275	안심(>=2)	3년	26.173083545484687	0.2786319413770439	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	46448520.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
17	114090	GKL	직접추가	메인	12480.0	414.0	761.0	213092869283.0		30375090489.0							판정불가	일반	일반	2953.9374287595624	2953.9374287595624	12.517822038423702	12.517822038423702	N	N	42.509363295880156			93.51872659176031			71167.7509363296			470.2544145539231			1년	93.51872659176031	71167.7509363296	470.2544145539231	3.3173076923076925	3.6609140829388673			1553.3159719230266	12.44644208271656	1년	3.6609140829388673	안심(>=2)	1년	42.509363295880156	0.29447211315058397	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	61855670.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
18	138930	BNK금융지주	직접추가	메인	17500.0	735.0	2512.0		18192691866568.0	16445000245415.0							판정불가	일반	일반	5631.773694536628	5631.773694536628	4.724612382748158	4.724612382748158	N	N	15.547378104875808			39.594756209751615			99462.02759889606			468.3544434222632			1년	39.594756209751615	99462.02759889606	468.3544434222632	4.2	4.179682163341701					1년	4.179682163341701	안심(>=2)	1년	15.547378104875808	0.3038848319554584	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	310327033.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
19	003090	대웅	직접추가	메인	21600.0	200.0	4280.0	255917494906.0	69412115604.0	668965344648.0	118388808025.0						판정불가	일반	일반	-5910.286064182885	-7946.487927707312	6.4276369308838515	6.903385029838157	Y	Y	202.2598870056497	20.159526008317698	12.806544500421424	413.0197740112994	48.819052016635396	34.11308900084285	1767724.6327683614	208945.5426311995	146004.0209236074	8083.910336890563	867.340475144442	575.9445413129972	3년	48.819052016635396	208945.5426311995	867.340475144442	0.9259259259259258	31.61127722620698	3.280436054645701	2.1364726374579197	-1554.3945053642824	-7.196270858167974	3년	3.280436054645701	안심(>=2)	3년	20.159526008317698	0.31883869334188947	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	58141980.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
20	017960	한국카본	조선/LNG사이클	watchlist	40950.0	320.0	2043.0	57866929673.0	27093215744.0	98920898088.0	81871440000.0						판정불가	일반	일반	-268.94950885840325	-1846.1770478341368	20.17569726326892	20.947712700848818	Y	Y	394.6731234866828	63.08567663703022	8.209872487827186	797.8462469733656	134.67135327406044	24.91974497565437	1629999.882566586	275133.5747389055	50911.03898526188	3880.463693691296	571.8768613892686	24.32488152689105	3년	134.67135327406044	275133.5747389055	571.8768613892686	0.7814407814407814	19.60054015025655	3.1655469739202005	0.44565068319285295	2529.43380973873	6.176883540265519	3년	3.1655469739202005	안심(>=2)	3년	63.08567663703022	0.31981423262449604	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	51908452.0	린치식 단독판정 비중 낮춤; 주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
