순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	015750	성우하이텍	직접추가	메인	6220.0	200.0	2110.0	393080902555.0	91530269981.0	2365979543.0	1905976554324.0						판정불가	일반	일반	6028.0649124125	-17796.6420166375	0.09096449648696671	11.382294794614928	N	Y	20.84765177548682	63.02385728102815		50.19530355097364	134.54771456205629		105912.09049255439	283895.6777259388		1602.7667281761155	4464.23919173535		3년	134.54771456205629	283895.6777259388	4464.23919173535	3.215434083601286	264.5327219783582	728.1884023193612		791.4473300375	12.724233601889068	3년	728.1884023193612	안심(>=2)	3년	63.02385728102815	0.001443334324672467	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	80000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	039200	오스코텍	직접추가	메인	38000.0		1368.0	15192017092.0		7091325790.0	6000000000.0						판정불가	일반	일반	211.7375198964007	54.90829730094817	27.62299888896462	27.73764013355194	N	N	5847.826086956522			11704.152173913044			16011280.173913045			42034.94782608696			1년	11704.152173913044	16011280.173913045	42034.94782608696		211.70134750621617					1년	211.70134750621617	안심(>=2)	1년	5847.826086956522	0.004723635497741162	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	38258176.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
3	171090	선익시스템	직접추가	메인	70300.0	1000.0	10959.0	149747229475.0	1000000000.0	41619580773.0	37350000000.0						판정불가	일반	일반	11413.23046060536	7506.941240834078	5.373370703476105	5.729816475879726	N	N	-441.2955465587045		108.97178221983204			226.44356443966407			2481595.0226942785			3430.00714465758	5년	226.44356443966407	2481595.0226942785	3430.00714465758	1.422475106685633	-81.86166481450071		20.544694088405656	7500.184985855782	10.668826437917184	5년	20.544694088405656	안심(>=2)	5년	108.97178221983204	0.04930974417428765	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	9561504.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	041510	에스엠	직접추가	메인	76300.0	1620.0	15166.0	364611980599.0	229637014667.0	71674775222.0	5166699000.0						판정불가	일반	일반	22825.127575171362	22599.45520310605	3.5259707519997785	3.540850903131607	N	N	1807.6729559748428	64.77467023251435		3623.8459119496856	138.0493404650287		54959247.100628935	2093656.2974926254		71930.46802179415	2643.9794200427596		3년	138.0493404650287	2093656.2974926254	2643.9794200427596	2.123197903014417	513.2759972133686	18.972893662713222				3년	18.972893662713222	안심(>=2)	3년	64.77467023251435	0.054434406834384455	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	22894690.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	018290	브이티	직접추가	메인	13870.0		1728.0	84220398087.0	525529750.0	0.0	35176445000.0						판정불가	일반	일반	2425.342588933072	1418.6283743001727	6.623065631404472	7.205654875983696	N	N	-37.41398044186889	71.59549321993607	119.38804809293298		151.69098643987215	247.27609618586595		262122.02456809906	427293.0942091764		1789.8487712191713	2980.7000303473424	3년	151.69098643987215	262122.02456809906	1789.8487712191713		-5.649042682660984	10.810023213487876	18.026100711856575	1286.287521709648	9.27388263669537	3년	10.810023213487876	안심(>=2)	3년	71.59549321993607	0.09250673937057606	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	34941838.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	257720	실리콘투	직접추가	메인	38400.0	306.0	2756.0	77322804082.0	702044561.0	13804276303.0	41523500000.0						판정불가	일반	일반	979.3266675259208	346.1172550697164	13.577893081449231	13.807649762311424	N	N	38.49246231155779	145.61530361348161		85.48492462311557	299.73060722696323		235596.45226130652	826057.5535175106		513.532427763819	2051.191545618517		3년	299.73060722696323	826057.5535175106	2051.191545618517	0.796875	2.893625474576521	10.783129439538522		-89.94114448626921	-0.23422173043299274	3년	10.783129439538522	안심(>=2)	3년	145.61530361348161	0.09324495945488066	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	65576252.0	단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:NA
7	033500	동성화인텍	직접추가	메인	17660.0	400.0	1869.0	80845872158.0	216438728.0		7174500000.0						판정불가	일반	일반	2703.023628408002	2463.7898487383613	8.002662585121454	8.130663537325649	N	N	37.933579335793354	85.03864028854527	18.260466581831338	84.36715867158671	178.57728057709053	45.020933163662676	157682.21955719555	333760.93739858223	84144.12408288554	792.8778004371209	1789.926032834554	376.4672937875738	3년	178.57728057709053	333760.93739858223	1789.926032834554	2.2650056625141564	5.0231513037979	10.909324868122557	2.564830395636877	2286.215405268258	12.945727096649254	3년	10.909324868122557	안심(>=2)	3년	85.03864028854527	0.09410619170259024	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	29989494.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	095660	네오위즈	직접추가	메인	19360.0	303.0	2522.0	71506938430.0									판정불가	일반	일반	3271.6081990167277	3271.6081990167277	6.379219588018744	6.379219588018744	N	N	2037.2881355932204	59.20438360697895	-2.0836107187727326	4083.076271186441	126.9087672139579	4.332778562454535	10297518.355932204	320063.9109136018	10927.267534510336	53089.660929401885	1553.2226803388521	-43.55750240438876	3년	126.9087672139579	320063.9109136018	1553.2226803388521	1.5650826446280992	319.60856498295817	9.526159965670788	-0.08128393559590222	3260.7172211176594	16.842547629739975	3년	9.526159965670788	안심(>=2)	3년	59.20438360697895	0.10774910909243497	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	21856816.0	1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	067160	SOOP	직접추가	메인	43900.0	3380.0	9556.0	134011835737.0	116354281889.0	5107094014.0	341000000.0						판정불가	일반	일반	21336.580690326304	21306.915017242194	2.3611782450474776	2.364282647839871	N	N	0.7060807250500512	20.62187794636918	22.171262636843704	9.912161450100102	49.74375589273836	52.84252527368741	94720.61481715657	475351.3313110078	504963.17151535687	115.76449844454801	982.804854922569	1050.2577938846398	3년	49.74375589273836	475351.3313110078	982.804854922569	7.699316628701594	3.5598317794862764	11.994517836369997	12.650709165306862	8736.18659282089	19.90019725016148	3년	11.994517836369997	안심(>=2)	3년	20.62187794636918	0.1144987013883089	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11494767.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	053800	안랩	직접추가	메인	60500.0	1400.0	5714.0	67126196416.0	212621651635.0	1087944763.0	210000000.0						판정불가	일반	일반	25044.690874925156	25025.817025398628	6.204989346355415	6.208292435176999	N	N	51.84693064044645	51.8781942609736	21.726884580572147	112.1938612808929	112.2563885219472	51.953769161144294	641075.723359022	641433.0040144064	296863.8369867785	959.629294808301	960.2198413461261	390.68402807731985	3년	112.2563885219472	641433.0040144064	960.2198413461261	2.3140495867768593	8.728617762903252	8.73365622772278	3.8744521264117524	5241.269111345467	8.66325472949664	3년	8.73365622772278	안심(>=2)	3년	51.8781942609736	0.11960688753238355	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11126506.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
