티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
0700.HK	0700.HK	China / Hong Kong	461.6000061035156	-7.4949887568104945	-25.064934074104606		-31.867157770698807	447.8100021362305	549.6120007324218	Y	N	주의	TENCENT	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Tencent Holdings Limited, an investment holding company, provides value-added services, marketing services, fintech, and business services in Mainland China and internationally. The company's consumers business includes communications and social services, such as instant messaging and social networks; digital content, including online games, videos, live streaming, news, music, and literature; fintech services, which include mobile payment, wealth management, consumer loans, and securities tradi	4155151745024.0	1.1	27.88	15.854343468694765	6.10101407396777		712465000000.0	334573000000.0	53160000000.0	406399000000.0	1154152000000.0	41.98040119754657	21.126287077097764	4.576751905926126	15.050918396914241	6.10101407396777	2.466953561234114	0.4784434998627147	매우 불리	불리(<1)	20.70202814793554	577.1725447644428	25.037378061691264	보류	충분
9988.HK	9988.HK	China / Hong Kong	112.5999984741211	-12.441684968906952	-21.037872612443685		-39.16802011818925	111.07124996185303	141.5692499923706	Y	N	주의	BABA-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses in the People's Republic of China and internationally. It operates through the Alibaba China E-Commerce Group, Alibaba International Digital Commerce Group, Cloud Intelligence Group, and All Others segments. The Alibaba China E-commerce Group segment operates Taobao and Tmall, which are digital retail platforms; Taobao Instant 	2159102394368.0	88.0	6.35	-20.380603955145304	12.486072925161418		502258000000.0	231772000000.0	28224000000.0	281722000000.0	1060886000000.0	14.106196213602157	-2.6453224815286402	-2.3493095180961445	15.510835001656526	12.486072925161418	1.2422508738035425	6.478443804890563	보통	안심(>=2)	33.47214585032283	212.54812614954997	88.76388013308897	보류	충분
3690.HK	3690.HK	China / Hong Kong	83.6500015258789	-3.0706853211692087	-17.178216311010985		-37.76041270484982	76.53874950408935	89.91200004577637	Y	N	주의	MEITUAN-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Meituan operates as a technology driven retail company in the People's Republic of China, Hong Kong, Macao, Taiwan, and internationally. It operates through Core Local Commerce and New Initiatives segments. The company offers daily goods and services, such as food delivery, in-store, hotel and travel booking, and other services and sales; bike sharing, e-moped sharing, power banks and micro-credit; and operates Kuailv and Xiaoxiang Supermarkets. It also sells goods from B2B food distribution ser	516274520064.0		-4.53				226896042000.0	65904021000.0	14379078000.0	86619106000.0	151045913000.0	28.78616077521859	-4.843057246823339	-5.789667852337141					판정불가	판정불가				보류	일부부족
9618.HK	9618.HK	China / Hong Kong	116.30000305175781	-3.6453968581052654	4.118179256215293		-18.557422572599723	111.06749992370605	116.0192504119873	Y	Y	상승전환/양호	JD-SW	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	JD.com, Inc. operates as a supply chain-based technology and service provider in the People's Republic of China and Europe. It operates through three segments: JD Retail, JD Logistics, and New Businesses. The company provides home appliances; mobile handsets and other digital products; computers, including desktop, laptop, and other various products, as well as printers and other office equipment; furniture and household goods; apparel; cosmetics and other personal care items; and pet products. 	317689888768.0	3.35	5.34	-52.53511932106676	23.66544269567723		288976000000.0	62473000000.0	11525000000.0	107105000000.0	225040000000.0	93.98950734042998	1.9947089521350574	1.7151409284549528	4.177995451559519	23.66544269567723	0.17654414942859611	6.466125444342738	매우 유망	안심(>=2)	55.83088539135446	298.13692798983277	156.35160805382847	매우 유망	충분
9999.HK	9999.HK	China / Hong Kong	202.8000030517578	14.12493333403173	-7.650274401102964		-17.694801917504687	195.6699996948242	202.2360001373291	Y	Y	상승전환/양호	NTES	HKG	HKD	Communication Services	Electronic Gaming & Multimedia	Electronic Gaming & Multimedia	NetEase, Inc. engages in online games, music streaming, online intelligent learning services, and internet content services businesses in China and internationally. The company operates through Games and Related Value-Added Services; Youdao; NetEase Cloud Music; and Innovative Businesses and Others segments. It develops and operates mobile and PC games; and offers games licensed from other developers. The company also provides live streaming service, and other related or ancillary value-added se	649213706240.0	2.21	12.19	13.67851196370724	18.404094603117294		278053666000.0	427997000.0	6384417000.0	6729742000.0	160296119000.0	86.7241183674002	15.208846569346823	7.499431134360132	9.522221877305794	18.404094603117294	0.5173969207750604	2.1648408185327668	헐값	안심(>=2)	45.30818920623459	552.3068264239996	172.3406400950803	양호	충분
1810.HK	1810.HK	China / Hong Kong	26.8799991607666	-13.009710379908668	-29.300371285824866		-54.785536054150356	25.98099994659424	36.162299976348876	Y	N	주의	XIAOMI-W	HKG	HKD	Technology	Consumer Electronics	Consumer Electronics	Xiaomi Corporation, an investment holding company, engages in the development and sales of smartphones in Mainland China and internationally. It operates through Smartphones, IoT and Lifestyle Products, Internet Services, and smart electric vehicles segments. The company also offers internet of things (IoT) and lifestyle products comprising smart large home appliances, smart TVs, tablets, wearables and other IoT and lifestyle products; hardware repairment services for products; installation serv	689433214976.0		1.8	76.02150314018954	156.2794016865734		188478801000.0	22921433000.0	13202226000.0	41837896000.0	266218661000.0	7.807489649417397	1.0079358687298061	3.749761533478636	10.595838617416224	156.2794016865734	0.06780060905701915	14.749130043345438	매우 유망	안심(>=2)	60.0	108.0	301.7857268300595	매우 유망	충분
9888.HK	9888.HK	China / Hong Kong	106.5	-6.986899563318783	-24.091234723130206		-33.64485981308412	116.27374935150146	124.55774978637696	N	N	주의	BIDU-SW	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Baidu, Inc. provides internet content, value-added telecommunication-based, internet map, and online audio and video services in the People's Republic of China. It operates in two segments, Baidu General Business and iQIYI. The Baidu General Business segment offers products and services for mobile ecosystem, AI cloud, and intelligent driving. This segment operates Baidu App that enables users to access search, feed, content, and other services through mobile devices; and Haokan, which offers a r	289895284736.0		-0.15	-76.47727272727273	-9.574707672764294		205928000000.0	61102000000.0	28410000000.0	97077000000.0	266330000000.0	65.88987137071996	-7.474974014478953	-7.018754943172725		-9.574707672764294			판정불가	판정불가				보류	일부부족
1024.HK	1024.HK	China / Hong Kong	43.279998779296875	-5.2124421289285845	-39.805288093465286		-52.879695701365634	44.6979998588562	61.14139982223511	N	N	주의	KUAISHOU-W	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Kuaishou Technology, an investment holding company, provides live streaming, online marketing, and other services in the People's Republic of China. It offers Kuaishou Flagship, a short video and content based social networking platform; Kuaishou Express; Kuaishou Concept; Yitian Camera, an app to create features Japanese-and-Korean-style filters and cute stickers; Kmovie, a shooting, editing, and production tool; and AcFun, a video sharing website. The company also provides entertainment, e-com	187303395328.0	1.47	4.88	21.402021519400073			113106000000.0	11098000000.0	13916000000.0	34953000000.0	79558000000.0	27.851278324898242	3.214659154158026	7.42758605551479	3.161623043934146	21.402021519400073	0.14772543991081694	7.234265819033066	매우 유망	안심(>=2)	8.5	41.48	-4.158962176676195	양호	충분
1211.HK	1211.HK	China / Hong Kong	88.69999694824219	-17.334581150518346	-6.2863227487744755		-33.9046207411974	85.28624992370605	97.53549995422364	Y	N	주의	BYD COMPANY	HKG	HKD	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	BYD Company Limited, together with its subsidiaries, engages in automobiles and batteries business in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. It operates in two segments, Mobile Handset Components, Assembly Service and Other Products; and Automobiles and Related Products and Other Products. The Mobile Handset Components, Assembly Service and Other Products segment manufactures and sells mobile handset components, such as housings and electronic components, 	808695365632.0	45.0	3.45	-18.967701027859206	25.196441286638958		184489829000.0	65703479000.0	38484710000.0	119120640000.0	246274606000.0	32.249104088613784	-26.516889015583427	-29.89502810361588	16.362577640472	25.196441286638958	0.6494003440536924	4.29006008888304	헐값	안심(>=2)	58.892882573277916	203.1804448778088	129.06477099020387	보류	충분
2318.HK	2318.HK	China / Hong Kong	54.599998474121094	-12.709833509045222	-22.22222101465735		-25.663715803016395	55.73499975204468	60.959750156402585	N	N	주의	PING AN	HKG	HKD	Financial Services	Insurance - Life	Insurance - Life	Ping An Insurance (Group) Company of China, Ltd. provides financial products and services in the People's Republic of China. It operates through Life and Health Insurance; Property and Casualty Insurance; Banking; Asset Management; and Finance Enablement segments. The company offers life insurance products, including term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance; property and casualty insurance, such as auto insurance, non-auto ins	988677210112.0	5.57	8.36	6.453829567085556	6.681286200386016		1018674000000.0	1345587000000.0	84520000000.0	1438514000000.0	1000419000000.0	-43.89521637208706	87.31390191516293	159.91557574227284	11.781724263900498	6.681286200386016	1.7633916450428064	1.0398551116939876	보통	보통(1~1.5)	21.86257240077203	182.77110527045417	234.74562340341944	보류	충분
