티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
2330.TW	2330.TW	Taiwan 50	2370.0	6.040268456375841	33.14606741573034		-5.5776892430278835	2390.625	1920.7	N	Y	상승전환/양호	TAIWAN SEMICONDUCTOR MANUFACTUR	TAI	TWD	Technology	Semiconductors	Semiconductors	Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. T	61459715325952.0	1.01	73.55	46.54981153856048	19.574951863097922		3488279800000.0	896062000000.0	136925700000.0	1064582700000.0	5355038700000.0	99.96069751058748	38.26794070252923	1.6146810423008116	30.863892623921313	19.574951863097922	1.5767033727477482	0.6669590292425845	보통	불리(<1)	47.649903726195845	3504.6504190617043	47.87554510808878	보류	충분
2317.TW	2317.TW	Taiwan 50	260.0	3.1746031746031855	15.299334811529942		-15.857605177993527	249.1875	234.44	Y	Y	상승전환/양호	HON HAI PRECISION INDUSTRY	TAI	TWD	Technology	Electronic Components	Electronic Components	Hon Hai Precision Industry Co., Ltd. provides electronic manufacturing services. The company offers consumer electronics, including smartphones, feature phones, wearable devices, televisions, game consoles, set-top boxes, and audio systems; cloud and networking products comprising routers, servers, edge computing, data centers, and satellite communications and other related equipment; electronic computing equipment, such as desktop computers, laptops, tablets, multi-function devices and printers	3640499109888.0	2.71	13.94	23.999718516214784	10.202197342011932		2177167157000.0	306085648000.0	940440828000.0	1286493270000.0	1772771627000.0	133.63035351031627	3.6666051717189645	1.410232758353448	9.06525441102466	10.202197342011932	0.8885590140169686	1.4243612762052034	헐값	보통(1~1.5)	28.904394684023863	402.92726189529265	54.972023805881776	보류	충분
2454.TW	2454.TW	Taiwan 50	3900.0	0.5154639175257714	119.71830985915494		-15.94827586206896	3946.875	2378.825	N	Y	상승전환/양호	MEDIATEK INC	TAI	TWD	Technology	Semiconductors	Semiconductors	MediaTek Inc. engages in the research, development, production, manufacture, and marketing of multimedia integrated circuits (ICs) in Taiwan, rest of Asia, and internationally. The company offers multimedia, computer peripherals oriented, consumer-oriented, and other ICs for various applications. It also offers design, test runs, maintenance and repair, and technological consultation services for software and hardware solutions; and sale and delegation patents and circuit layout rights for its I	6224767090688.0	1.36	62.72	-1.0032496768530352	-3.7570524355304835		260128122000.0	60000000.0	4480763000.0	13730009000.0	400600988000.0	162.94035255259004	86.06841542588877	2.206882446817661	59.583221419761	-3.7570524355304835		-0.040230326229650476	판정불가	불리(<1)	0.985895128939033	61.835342487056145	-98.4144783977678	보류	일부부족
2308.TW	2308.TW	Taiwan 50	1650.0	-26.503340757238302	32.00000000000001		-34.523809523809526	1873.625	1501.35	N	Y	상승전환/양호	DELTA ELECTRONIC	TAI	TWD	Technology	Electronic Components	Electronic Components	Delta Electronics, Inc., together with its subsidiaries, provides power and thermal management solutions in Mainland China, the United States, Taiwan, Thailand, and internationally. It operates through Power Electronics, Mobility, Automation, and Infrastructure segments. The company offers inductors, transformer components, networking products, EMI filters, solenoids, current sensing resistors, power modules, and stamping and over molding components; embedded power, adapters, industrial and medi	4285946658816.0	69.0	27.05	70.62397666530782	22.54086445612693		159053571000.0	56703273000.0	17326736000.0	76525994000.0	268057976000.0	39.40272982449256	19.757704684663608	1.1974366475553702	59.54148873107236	22.54086445612693	2.64149091739417	1.5374298897628227	매우 불리	양호(>=1.5)	53.58172891225386	1449.385767076467	-12.15843835900201	보류	충분
2382.TW	2382.TW	Taiwan 50	298.0	-13.24599708879185	3.6521739130434883		-28.53717026378897	347.5375	308.3375	N	N	중립	QUANTA COMPUTER	TAI	TWD	Technology	Computer Hardware	Computer Hardware	Quanta Computer Inc. manufactures, processes, and sells laptop computers and cloud-computing server related products in the United States, Mainland China, the Netherlands, Japan, and internationally. The company provides notebook PCs; servers, storage devices, and network switches; cameras, including automotive cameras, camera module, and AI dash-camera and AI body-worn camera; and smart healthcare solutions. It also offers mobile computing solutions for the wireless communication of notebook PC	1221656444928.0	5.17	19.21	25.603756952240488	37.322961044476074		230393427000.0	56578932000.0	258327344000.0	322496262000.0	243577029000.0	42.39875957136819	-6.229886661808861	-2.090565993895591	13.305634587643508	37.322961044476074	0.3564999725447236	3.1936064953969083	매우 유망	안심(>=2)	60.0	1152.6000000000001	286.7785234899329	보류	충분
2303.TW	2303.TW	Taiwan 50	116.0	22.10526315789474	52.2309772253553		-35.01400560224089	144.875	82.44925004959106	N	Y	상승전환/양호	UNITED MICRO ELECTRONICS	TAI	TWD	Technology	Semiconductors	Semiconductors	United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, China, Hong Kong, Japan, Korea, the United States, Europe, and internationally. It manufactures and sells integrated circuits. The company offers circuit design; mask tooling; wafer fabrication; and assembly and testing services for communication devices, consumer electronics, computer, and other applications. It also provides venture capital and marketing support; consulting and planning; energy technical; 	1454586986496.0	2.15	6.59	-17.259341564967112	-23.3089317909408		146070330000.0	45372054000.0	8408772000.0	59781672000.0	365824997000.0	8.030458271970222	3.918048719616251	3.377628206565733	16.383845482250347	-23.3089317909408		-1.2914508876358488	판정불가	불리(<1)	0.0	0.0	-100.0	보류	일부부족
2412.TW	2412.TW	Taiwan 50	137.5	1.4760147601476037	3.383458646616533		-6.1433447098976135	139.9375	135.31	N	Y	상승전환/양호	CHUNGHWA TELECOM	TAI	TWD	Communication Services	Telecom Services	Telecom Services	Chunghwa Telecom Co., Ltd., together with its subsidiaries, operates as an integrated telecommunications service provider in Taiwan and internationally. The company operates through Consumer Business, Enterprise Business, International Business, and Others segments. Its services primarily include mobile, fixed-line, information and communication technology (ICT), and sales and other services. The company provides mobile services, including prepaid and postpaid plans; fixed-line services, such as	1066648928256.0	3.8	5.01	4.0764742262497045	2.1070421075218615		80236000000.0	24888000000.0	2240000000.0	38019000000.0	384131000000.0	7.134821964796407	6.394372131635488	4.650452459371264	26.020993619801118	2.1070421075218615	12.349536597730825	0.22701062818088535	매우 불리	불리(<1)	12.714084215043723	63.69756191736905	-53.674500423731594	보류	충분
2882.TW	2882.TW	Taiwan 50	99.4000015258789	26.785713764390874	30.961791208907187		-13.93939261828666	100.09000034332276	79.20399988174438	N	Y	상승전환/양호	CATHAY FINANCIAL HLDG CO	TAI	TWD	Financial Services	Insurance - Life	Insurance - Life	Cathay Financial Holding Co., Ltd., through its subsidiaries, provides various financial products and services in Taiwan, rest of Asia, and internationally. The company offers consumer banking services, such as deposit and remittance services; and credit services, including secured and unsecured consumer loans, adjustable-rate mortgage, revolving mortgage, and government subsidized mortgage. It also provides corporate banking services, including corporate, sustainable, working capital, capital e	1458119507968.0	3.59	7.06	-2.836521477400711	42.07576363585104		790688699000.0	0.0	0.0	441882992000.0	928286508000.0	53.90124614754305	12.470106092966152	12.545378170562246	6.444582914778451	42.07576363585104	0.153166154524342	7.085914517622575	매우 유망	안심(>=2)	60.0	423.59999999999997	326.1569351080093	매우 유망	충분
2891.TW	2891.TW	Taiwan 50	65.5999984741211	18.625676996678454	29.13385720341386		-9.392269210556847	67.17000036239624	54.023250045776365	N	Y	상승전환/양호	CTBC FINANCIAL HOLDINGS COMPANY	TAI	TWD	Financial Services	Banks - Regional	Banks - Regional	CTBC Financial Holding Co., Ltd., together with its subsidiaries, engages in corporate and personal finance, life insurance, and other businesses in Taiwan, Asia, and North America. The company offers commercial banking and capital market services; customized financing and wealth management and credit services; life insurance services; and designs, provides, and trades in various financial products. It is also involved in deposit and loan; securities and futures; venture capital; asset managemen	1290804527104.0	3.87	4.06	11.926931815510834	37.10774106785184		641748921000.0	0.0	0.0	331234874000.0	518343310000.0	32.614333243681955	0.003445766638987655	0.005252693169416757	8.124548086315059	37.10774106785184	0.21894483071495108	5.043694816315322	매우 유망	안심(>=2)	60.0	243.59999999999997	271.3414720521664	매우 유망	충분
2881.TW	2881.TW	Taiwan 50	127.0	32.98429319371727	37.445885176127945		-8.30324909747292	127.725	100.72549987792969	N	Y	상승전환/양호	FUBON FINANCIAL HLDG CO LTD	TAI	TWD	Financial Services	Insurance - Life	Insurance - Life	Fubon Financial Holding Co., Ltd. provides various financial products and services in Taiwan, Asia, and internationally. It operates through Banking Business, Property Insurance Business, Life Insurance Business, Securities Business, and Others segments. The company offers insurance products, including property, casualty, life, health, accident, fire, transportation, fishing vessel, car, liability, engineering and nuclear, guarantee and letter of credit, and personal and commercial multiple peri	1735546765312.0	3.37	8.37	-19.809129596654984	37.10650367758417		922185721000.0	0.0	0.0	600644627000.0	982581684000.0	67.48166890931621	0.4210099576148224	0.3315039036337184	7.11091171931706	37.10650367758417	0.19163518560259077	5.692167935038234	매우 유망	안심(>=2)	60.0	502.19999999999993	295.4330708661417	매우 유망	충분
